num_files	N
1177	23312
1178	23015
1179	23319
1180	23475
1181	23628
1182	23716
1183	23542
1184	23475
1185	23477
1186	23601
1187	23135
1188	23234
1189	23791
1190	23137
1191	23008
1192	22933
1193	23414
1194	23598
1195	22989
1196	24090
1197	23493
1198	23910
1199	23767
1200	23661
1201	23695
1202	23770
1203	23519
1204	24155
1205	23509
1206	23986
1207	23518
1208	23401
1209	23777
1210	23661
1211	24158
1212	23682
1213	23386
1214	23389
1215	24151
1216	24116
1217	23710
1218	24018
1219	24100
1220	23584
1221	23556
1222	23550
1223	23655
1224	23392
1225	23833
1226	23980
1227	23449
1228	23681
1229	23734
1230	23649
1231	23744
1232	23712
1233	24084
1234	23598
1235	23647
1236	23937
1237	23975
1238	24126
1239	23759
1240	24031
1241	24053
1242	23700
1243	23804
1244	24094
1245	24064
1246	23876
1247	23817
1248	23781
1249	24317
1250	24232
1251	23615
1252	23976
1253	24163
1254	23981
1255	23883
1256	23697
1257	23950
1258	24029
1259	23668
1260	23848
1261	24003
1262	23659
1263	24156
1264	24006
1265	23949
1266	24227
1267	24137
1268	24385
1269	24102
1270	24007
1271	24082
1272	24230
1273	23752
1274	24094
1275	24110
1276	24199
1277	24567
1278	24227
1279	23972
1280	24207
1281	24100
1282	24262
1283	23856
1284	24502
1285	24193
1286	24680
1287	24080
1288	24247
1289	24172
1290	23979
1291	24257
1292	23947
1293	24038
1294	24015
1295	23947
1296	23857
1297	24091
1298	24325
1299	24330
1300	24581
1301	23825
1302	24442
1303	24437
1304	24031
1305	24097
1306	23785
1307	24635
1308	24206
1309	24974
1310	24560
1311	24434
1312	24194
1313	24578
1314	24357
1315	24595
1316	24412
1317	24403
1318	24624
1319	24207
1320	24274
1321	24479
1322	24200
1323	24609
1324	24328
1325	24451
1326	24086
1327	24373
1328	24259
1329	24412
1330	24736
1331	24913
1332	24484
1333	24437
1334	24860
1335	24900
1336	24491
1337	24487
1338	24399
1339	24637
1340	24926
1341	24549
1342	24238
1343	24814
1344	24606
1345	24628
1346	24688
1347	24495
1348	24507
1349	24373
1350	25019
1351	24910
1352	24463
1353	24504
1354	24479
1355	24853
1356	24847
1357	24419
1358	24669
1359	24948
1360	24479
1361	24521
1362	24880
1363	25011
1364	24996
1365	24887
1366	24981
1367	24914
1368	24433
1369	24854
1370	24748
1371	24946
1372	24877
1373	24619
1374	25067
1375	25132
1376	24589
1377	24915
1378	25060
1379	24757
1380	24702
1381	24882
1382	24944
1383	24971
1384	25178
1385	25233
1386	24962
1387	25343
1388	24827
1389	24873
1390	24568
1391	25084
1392	24839
1393	24932
1394	25374
