num_files	year	N
111	2016	25
111	2017	37
111	2018	25
111	2019	25
111	2020	54
111	2021	122
111	2022	49
111	2023	5
111	2024	62
112	2014	142
112	2015	2
112	2016	26
112	2017	40
112	2018	26
112	2019	25
112	2020	56
112	2021	121
112	2022	51
112	2023	5
112	2024	63
113	2014	140
113	2015	2
113	2016	25
113	2017	41
113	2018	25
113	2019	24
113	2020	55
113	2021	126
113	2022	51
113	2023	5
113	2024	60
114	2014	144
114	2015	2
114	2016	29
114	2017	41
114	2018	27
114	2019	24
114	2020	55
114	2021	131
114	2022	52
114	2023	5
114	2024	61
115	2014	141
115	2015	2
115	2016	26
115	2017	39
115	2018	26
115	2019	23
115	2020	56
115	2021	126
115	2022	55
115	2023	5
115	2024	62
116	2014	141
116	2015	2
116	2016	27
116	2017	40
116	2018	26
116	2019	25
116	2020	56
116	2021	123
116	2022	49
116	2023	5
116	2024	57
117	2014	143
117	2015	2
117	2016	23
117	2017	42
117	2018	26
117	2019	24
117	2020	53
117	2021	129
117	2022	50
117	2023	5
117	2024	60
118	2014	136
118	2015	2
118	2016	27
118	2017	41
118	2018	26
118	2019	25
118	2020	59
118	2021	129
118	2022	44
118	2023	5
118	2024	63
119	2014	141
119	2015	2
119	2016	25
119	2017	42
119	2018	26
119	2019	23
119	2020	59
119	2021	127
119	2022	55
119	2023	5
119	2024	61
120	2014	137
120	2015	2
120	2016	27
120	2017	38
120	2018	26
120	2019	27
120	2020	55
120	2021	131
120	2022	51
120	2023	5
120	2024	58
121	2014	137
121	2015	2
121	2016	25
121	2017	41
121	2018	26
121	2019	24
121	2020	60
121	2021	123
121	2022	54
121	2023	5
121	2024	61
122	2014	138
122	2015	2
122	2016	25
122	2017	39
122	2018	26
122	2019	25
122	2020	59
122	2021	126
122	2022	52
122	2023	5
122	2024	61
123	2014	130
123	2015	2
123	2016	26
123	2017	41
123	2018	25
123	2019	24
123	2020	58
123	2021	126
123	2022	49
123	2023	5
123	2024	58
124	2014	141
124	2015	2
124	2016	25
124	2017	37
124	2018	26
124	2019	23
124	2020	61
124	2021	124
124	2022	49
124	2023	5
124	2024	64
125	2014	144
125	2015	2
125	2016	29
125	2017	42
125	2018	26
125	2019	24
125	2020	58
125	2021	126
125	2022	51
125	2023	5
125	2024	58
126	2014	145
126	2015	2
126	2016	28
126	2017	40
126	2018	27
126	2019	25
126	2020	58
126	2021	122
126	2022	55
126	2023	5
126	2024	62
127	2014	138
127	2015	2
127	2016	25
127	2017	40
127	2018	27
127	2019	24
127	2020	58
127	2021	123
127	2022	51
127	2023	5
127	2024	58
128	2014	141
128	2015	2
128	2016	25
128	2017	39
128	2018	26
128	2019	25
128	2020	61
128	2021	129
128	2022	53
128	2023	5
128	2024	63
129	2014	146
129	2015	2
129	2016	29
129	2017	41
129	2018	26
129	2019	25
129	2020	57
129	2021	126
129	2022	51
129	2023	5
129	2024	62
130	2014	140
130	2015	2
130	2016	28
130	2017	40
130	2018	26
130	2019	23
130	2020	56
