id	fragment_scans	mz	rt	height	has_MSMS_scan
9379	34	434.8524	14.7035	1225000	TRUE
9380	1	152.0473	14.7097	1014000	TRUE
9381	0	250.94141	14.7071	547000	FALSE
9382	2	139.99866	14.7193	446800	TRUE
9383	6	220.93456	14.7277	3577000	TRUE
9384	222	272.15064	14.7188	1333000	TRUE
9385	1	192.88829	14.7224	501300	TRUE
9386	0	234.9182	14.7282	773200	FALSE
9387	3	236.91641	14.7298	756500	TRUE
9389	10	197.0008	14.7216	3098000	TRUE
9390	5	182.98006	14.7227	571200	TRUE
9391	12	312.94312	14.7296	3573000	TRUE
9392	4	271.91653	14.7292	4938000	TRUE
9393	2	407.89142	14.7277	439000	TRUE
9394	17	224.01171	14.7181	1023000	TRUE
9395	19	350.89296	14.7244	815800	TRUE
9396	0	140.98579	14.7143	850900	FALSE
9397	4	142.95905	14.7294	387300	TRUE
9398	2	331.91391	14.7275	560100	TRUE
9399	3	289.88923	14.7223	429900	TRUE
9400	7	382.83736	14.7154	746700	TRUE
9401	54	339.904	14.7244	2128000	TRUE
9402	13	138.99532	14.7182	9007000	TRUE
9403	4	152.9471	14.7314	2019000	TRUE
9404	31	185.98337	14.7167	4190000	TRUE
9405	6	326.92018	14.7284	665100	TRUE
9406	16	193.97369	14.7326	2351000	TRUE
9407	10	157.00588	14.7251	957900	TRUE
9408	44	298.87743	14.7315	2097000	TRUE
9409	13	314.8498	14.724	649100	TRUE
9410	21	323.92643	14.7373	576300	TRUE
9411	10	282.90507	14.731	1251000	TRUE
9412	4	256.19076	14.7182	443700	TRUE
9413	61	366.86492	14.7235	1658000	TRUE
9414	4	323.93168	14.7353	601900	TRUE
9415	11	287.8889	14.7278	2423000	TRUE
9416	18	328.91548	14.7266	5297000	TRUE
9417	18	355.87639	14.7228	1638000	TRUE
9418	4	180.02183	14.7216	521900	TRUE
9419	2	512.79529	14.7201	403700	TRUE
9421	9	155.97424	14.727	1114000	TRUE
9422	3	213.11349	14.7295	523500	TRUE
9423	5	141.99356	14.7181	641400	TRUE
9424	1	145.97917	14.7345	568400	TRUE
9425	1	234.04058	14.731	420300	TRUE
9426	45	233.91484	14.7285	13210000	TRUE
9428	7	230.88985	14.7363	547900	TRUE
9429	35	235.91304	14.73	12100000	TRUE
9430	4	417.84683	14.73	556700	TRUE
9431	0	185.98888	14.7176	347200	FALSE
9432	52	182.1903	14.7369	859200	TRUE
9433	6	237.91117	14.73	2651000	TRUE
9434	31	145.9855	14.7333	2759000	TRUE
9435	4	194.11754	14.7258	676300	TRUE
9436	9	154.96686	14.7535	1652000	TRUE
9438	37	103.95543	14.7355	2271000	TRUE
9439	4	182.99039	14.7276	620400	TRUE
9440	34	144.98215	14.7341	65060000	TRUE
9441	28	105.95362	14.7326	1192000	TRUE
9442	6	146.98034	14.7348	30120000	TRUE
9444	10	137.00001	14.7227	589200	TRUE
9445	14	277.91013	14.747	591400	TRUE
9448	7	183.98224	14.7269	470400	TRUE
9449	44	147.98368	14.7363	1261000	TRUE
9450	3	168.9194	14.7304	653000	TRUE
9451	14	297.95654	14.7565	1353000	TRUE
9452	14	193.99898	14.7566	622300	TRUE
9454	54	192.05563	14.7469	921100	TRUE
9455	0	144.98565	14.7359	638100	FALSE
9456	2	194.05385	14.7417	508900	TRUE
9457	25	140.10699	14.7311	3191000	TRUE
9458	1	281.97893	14.7542	412200	TRUE
9460	20	237.02002	14.7589	534100	TRUE
9461	7	149.98796	14.7623	869900	TRUE
9462	0	118.08863	14.745	633400	FALSE
9464	16	119.08957	14.7483	2674000	TRUE
9465	35	118.08621	14.7483	47590000	TRUE
9466	4	221.0346	14.7472	586100	TRUE
9468	2	196.99362	14.7618	1177000	TRUE
9470	7	313.92887	14.7576	1842000	TRUE
9471	9	194.95942	14.7576	725000	TRUE
9472	72	326.93717	14.7565	1453000	TRUE
9473	7	142.96193	14.7292	419600	TRUE
9475	3	190.97941	14.7535	715400	TRUE
9476	5	354.93211	14.7585	570300	TRUE
9477	1	340.88975	14.7584	638200	TRUE
434	33	130.04985	1.2299	256500000	TRUE
526	1	136.93106	1.238	1403000	TRUE
819	22	144.10192	1.3389	3080000	TRUE
828	19	100.07563	1.3457	3732000	TRUE
1066	3	139.03899	1.4776	826500	TRUE
1129	45	130.08626	1.5176	32090000	TRUE
1151	0	118.08371	1.5325	6467000	FALSE
1314	8	174.99139	1.6305	1556000	TRUE
1335	20	104.07054	1.6461	4665000	TRUE
1372	46	144.10191	1.6485	57930000	TRUE
1489	108	160.13319	1.7229	189300000	TRUE
1518	36	144.10193	1.757	6328000	TRUE
1681	41	130.04988	1.8939	16510000	TRUE
1739	33	174.07609	1.9574	7189000	TRUE
1875	1	109.06473	2.0975	1075000	TRUE
1992	21	173.07844	2.2623	2276000	TRUE
2176	69	127.0502	2.6703	58600000	TRUE
2207	9	138.09136	2.6818	3844000	TRUE
2292	7	146.0812	2.7309	1407000	TRUE
2359	0	202.14382	2.7461	2387000	FALSE
2478	6	115.03894	2.8603	1700000	TRUE
2625	13	144.06554	2.921	1162000	TRUE
2630	0	154.04416	2.924	839900	FALSE
2633	22	153.04066	2.9253	11530000	TRUE
2728	23	126.10104	3.0415	6403000	TRUE
2800	55	127.05018	3.0952	14470000	TRUE
3273	4	174.11246	3.7018	1418000	TRUE
3638	2	227.12785	4.5049	1076000	TRUE
3715	3	193.12236	4.7443	1126000	TRUE
4037	28	652.4115	5.7141	69230000	TRUE
4188	12	740.46387	5.9794	9861000	TRUE
4219	10	268.08569	6.044	1555000	TRUE
4240	8	392.74879	6.1012	6533000	TRUE
4451	0	155.126	6.5333	2823000	FALSE
4826	1	212.16452	7.3885	633500	TRUE
5657	2	523.36308	9.707	474900	TRUE
6091	2	270.27917	10.0913	1548000	TRUE
6161	34	782.56696	10.129	13080000	TRUE
6167	11	622.40816	10.1285	3653000	TRUE
6168	11	804.54854	10.1204	2589000	TRUE
6174	20	223.16923	10.1437	2176000	TRUE
6203	6	235.16919	10.146	3851000	TRUE
6223	8	263.2005	10.1456	6383000	TRUE
6368	52	302.30543	10.2401	43690000	TRUE
6381	15	333.20372	10.2497	1660000	TRUE
6392	0	865.56356	10.2395	828500	FALSE
6424	1	315.1938	10.2597	672600	TRUE
