id	fragment_scans	mz	rt	height	has_MSMS_scan
10826	0	560.50179	9.4391	642400	FALSE
10828	0	552.33331	9.4368	204100	FALSE
10830	0	593.53151	9.4466	1078000	FALSE
10832	16	597.54572	9.4614	2397000	TRUE
10833	0	619.52742	9.4635	417000	FALSE
10834	0	528.52648	9.4423	139900	FALSE
10837	10	614.5724	9.46	570200	TRUE
10838	0	553.33606	9.4439	73110	FALSE
10840	0	555.50477	9.4512	97510	FALSE
10842	0	521.51245	9.455	333500	FALSE
10844	1	273.25777	9.4808	82540	TRUE
10847	1	564.53555	9.4727	593100	TRUE
10848	0	598.54921	9.4584	950900	FALSE
10849	0	615.57548	9.4611	231600	FALSE
10852	0	599.55243	9.4575	214400	FALSE
10853	0	605.53312	9.4602	203800	FALSE
10854	1	563.5038	9.4671	452000	TRUE
10855	0	572.5528	9.4792	638600	FALSE
10856	0	571.5495	9.4628	3103000	FALSE
10857	19	570.54612	9.4617	8141000	TRUE
10859	2	580.53109	9.4762	482800	TRUE
10860	0	581.53376	9.4724	188900	FALSE
10862	0	569.53399	9.4782	121100	FALSE
10863	0	585.48631	9.4467	190700	FALSE
10866	8	520.509	9.4953	715800	TRUE
10867	0	552.53526	9.4845	172200	FALSE
10868	0	568.53089	9.4777	351300	FALSE
10869	0	607.46818	9.4686	70200	FALSE
10873	4	592.52804	9.4874	2308000	TRUE
10874	0	539.52304	9.4875	765300	FALSE
10875	0	594.53373	9.4893	173700	FALSE
10877	0	593.53149	9.493	878000	FALSE
10878	0	570.59256	9.4933	63290	FALSE
10880	0	586.51765	9.5107	123500	FALSE
10882	0	546.52477	9.5073	124100	FALSE
10883	0	573.55585	9.4937	92070	FALSE
10884	0	684.61454	9.5077	96490	FALSE
10885	0	814.57135	9.5016	134900	FALSE
10886	0	526.51967	9.5011	1624000	FALSE
10887	0	588.53552	9.5029	135600	FALSE
10888	0	589.53829	9.4942	56470	FALSE
10889	0	433.4043	9.4904	83060	FALSE
10890	0	540.5265	9.504	153800	FALSE
10891	0	570.49954	9.5013	53670	FALSE
10892	0	653.55042	9.5033	83130	FALSE
10894	0	560.50191	9.4993	465500	FALSE
10895	0	565.53892	9.5192	239200	FALSE
