num_files	year	N
57	2022	152
57	2023	1
57	2024	39
58	2014	87
58	2015	3
58	2016	23
58	2017	62
58	2018	25
58	2019	17
58	2020	77
58	2021	158
58	2022	141
58	2023	1
58	2024	32
59	2014	87
59	2015	3
59	2016	24
59	2017	60
59	2018	27
59	2019	18
59	2020	80
59	2021	160
59	2022	150
59	2023	2
59	2024	37
60	2014	89
60	2015	3
60	2016	25
60	2017	63
60	2018	27
60	2019	18
60	2020	79
60	2021	158
60	2022	148
60	2023	1
60	2024	40
61	2014	88
61	2015	3
61	2016	25
61	2017	61
61	2018	26
61	2019	17
61	2020	81
61	2021	159
61	2022	158
61	2023	1
61	2024	41
62	2014	92
62	2015	3
62	2016	22
62	2017	61
62	2018	25
62	2019	16
62	2020	74
62	2021	162
62	2022	143
62	2023	2
62	2024	35
63	2014	91
63	2015	3
63	2016	25
63	2017	61
63	2018	30
63	2019	19
63	2020	82
63	2021	160
63	2022	153
63	2023	1
63	2024	39
64	2014	88
64	2015	3
64	2016	24
64	2017	61
64	2018	30
64	2019	17
64	2020	81
64	2021	159
64	2022	147
64	2023	1
64	2024	39
65	2014	89
65	2015	3
65	2016	25
65	2017	61
65	2018	30
65	2019	17
65	2020	82
65	2021	164
65	2022	145
65	2023	2
65	2024	36
66	2014	88
66	2015	3
66	2016	23
66	2017	63
66	2018	27
66	2019	16
66	2020	81
66	2021	157
66	2022	152
66	2023	2
66	2024	36
67	2014	91
67	2015	2
67	2016	24
67	2017	62
67	2018	29
67	2019	17
67	2020	80
67	2021	158
67	2022	152
67	2023	1
67	2024	36
68	2014	92
68	2015	3
68	2016	23
68	2017	61
68	2018	28
68	2019	18
68	2020	77
68	2021	155
68	2022	153
68	2023	1
68	2024	36
69	2014	89
69	2015	3
69	2016	25
69	2017	60
69	2018	28
69	2019	16
69	2020	80
69	2021	171
69	2022	151
69	2023	1
69	2024	36
70	2014	95
70	2015	3
70	2016	24
70	2017	62
70	2018	25
70	2019	14
70	2020	81
70	2021	162
70	2022	157
70	2023	1
70	2024	39
71	2014	90
71	2015	3
71	2016	25
71	2017	61
71	2018	28
71	2019	18
71	2020	80
71	2021	153
71	2022	146
71	2023	1
71	2024	37
72	2014	90
72	2015	3
72	2016	26
72	2017	62
72	2018	27
72	2019	18
72	2020	81
72	2021	167
72	2022	154
72	2023	1
72	2024	38
73	2014	88
73	2015	3
73	2016	22
73	2017	62
73	2018	26
73	2019	17
73	2020	83
73	2021	153
73	2022	158
73	2023	1
73	2024	35
74	2014	91
74	2015	3
74	2016	24
74	2017	62
74	2018	29
74	2019	15
74	2020	79
74	2021	157
74	2022	150
74	2023	2
74	2024	31
75	2014	94
75	2015	3
75	2016	25
75	2017	61
75	2018	31
75	2019	18
75	2020	84
75	2021	162
75	2022	155
75	2023	1
75	2024	41
76	2014	89
76	2015	3
76	2016	26
76	2017	63
76	2018	31
76	2019	17
76	2020	75
76	2021	158
76	2022	150
76	2023	2
76	2024	33
77	2014	88
77	2015	3
77	2016	22
77	2017	62
77	2018	26
77	2019	18
77	2020	79
77	2021	165
77	2022	163
77	2023	1
77	2024	38
78	2014	89
78	2015	3
78	2016	25
78	2017	61
78	2018	31
78	2019	17
78	2020	80
78	2021	161
78	2022	159
78	2023	1
78	2024	40
79	2014	91
79	2015	3
79	2016	23
79	2017	62
79	2018	30
79	2019	16
79	2020	80
79	2021	162
79	2022	154
79	2023	2
79	2024	36
80	2014	93
80	2015	3
80	2016	23
80	2017	63
80	2018	30
80	2019	16
80	2020	87
80	2021	161
80	2022	153
80	2023	1
80	2024	39
81	2014	90
81	2015	2
81	2016	24
81	2017	60
81	2018	25
81	2019	18
81	2020	81
81	2021	164
81	2022	152
81	2023	1
81	2024	38
82	2014	96
82	2015	3
82	2016	24
82	2017	61
82	2018	28
82	2019	16
82	2020	83
82	2021	159
82	2022	154
82	2023	2
82	2024	36
83	2014	98
83	2015	3
83	2016	26
83	2017	62
83	2018	28
83	2019	18
83	2020	83
83	2021	169
83	2022	152
83	2023	1
83	2024	38
84	2014	94
84	2015	2
84	2016	26
84	2017	62
84	2018	31
84	2019	17
84	2020	81
84	2021	169
84	2022	154
84	2023	1
84	2024	43
85	2014	96
85	2015	3
85	2016	26
85	2017	62
85	2018	29
85	2019	18
85	2020	82
85	2021	170
85	2022	151
85	2023	1
85	2024	37
86	2014	97
86	2015	3
86	2016	26
86	2017	63
86	2018	24
86	2019	16
86	2020	86
86	2021	167
86	2022	153
86	2023	1
86	2024	40
87	2014	90
87	2015	3
87	2016	25
87	2017	61
87	2018	28
87	2019	19
87	2020	85
87	2021	166
87	2022	152
87	2023	1
87	2024	39
88	2014	89
88	2015	3
88	2016	24
88	2017	61
88	2018	30
88	2019	18
88	2020	84
88	2021	168
88	2022	161
88	2023	2
88	2024	39
89	2014	100
89	2015	3
89	2016	25
89	2017	62
89	2018	31
89	2019	17
89	2020	86
89	2021	167
89	2022	154
89	2023	1
89	2024	41
90	2014	89
90	2015	3
90	2016	24
90	2017	63
90	2018	27
90	2019	17
90	2020	86
90	2021	163
90	2022	161
90	2023	1
90	2024	39
91	2014	91
91	2015	2
91	2016	25
91	2017	61
91	2018	30
91	2019	20
91	2020	85
91	2021	167
91	2022	154
91	2023	1
91	2024	35
92	2014	96
92	2015	3
92	2016	23
92	2017	61
92	2018	29
92	2019	18
92	2020	86
92	2021	170
92	2022	157
92	2023	2
92	2024	36
93	2014	95
93	2015	3
93	2016	25
93	2017	62
93	2018	28
93	2019	18
93	2020	82
93	2021	165
93	2022	153
93	2023	1
93	2024	38
94	2014	96
94	2015	3
94	2016	24
94	2017	63
94	2018	29
94	2019	16
94	2020	86
94	2021	162
94	2022	150
94	2023	2
94	2024	37
95	2014	97
95	2015	3
95	2016	25
95	2017	62
95	2018	29
95	2019	17
95	2020	83
95	2021	168
95	2022	164
95	2023	1
95	2024	41
96	2014	95
96	2015	3
96	2016	25
96	2017	62
96	2018	29
96	2019	18
96	2020	86
96	2021	169
96	2022	166
96	2023	3
96	2024	42
97	2014	91
97	2015	3
97	2016	25
97	2017	62
97	2018	27
97	2019	17
97	2020	83
97	2021	166
97	2022	155
97	2023	1
97	2024	38
98	2014	95
98	2015	3
98	2016	27
98	2017	62
98	2018	27
98	2019	17
98	2020	83
98	2021	162
98	2022	161
98	2023	2
98	2024	36
99	2014	93
99	2015	3
99	2016	26
99	2017	62
99	2018	29
99	2019	18
99	2020	81
99	2021	169
99	2022	157
99	2023	1
99	2024	37
100	2014	99
100	2015	3
100	2016	26
100	2017	61
100	2018	30
100	2019	19
100	2020	83
100	2021	163
100	2022	157
100	2023	1
100	2024	38
101	2014	94
101	2015	3
101	2016	25
101	2017	62
101	2018	30
101	2019	18
101	2020	82
101	2021	170
101	2022	156
101	2023	1
101	2024	36
102	2014	98
102	2015	3
102	2016	26
102	2017	61
102	2018	29
102	2019	21
102	2020	82
102	2021	170
102	2022	155
102	2023	1
102	2024	43
103	2014	94
103	2015	3
103	2016	25
103	2017	63
103	2018	28
103	2019	18
103	2020	86
103	2021	160
103	2022	163
103	2023	1
103	2024	38
104	2014	92
104	2015	3
104	2016	25
104	2017	61
104	2018	29
104	2019	17
104	2020	83
104	2021	163
104	2022	159
104	2023	1
104	2024	40
105	2014	92
105	2015	3
105	2016	27
105	2017	64
105	2018	29
105	2019	17
105	2020	82
105	2021	165
105	2022	157
105	2023	1
105	2024	41
106	2014	93
106	2015	3
106	2016	24
106	2017	63
106	2018	33
106	2019	20
106	2020	81
106	2021	168
106	2022	159
106	2023	1
106	2024	38
107	2014	98
107	2015	3
107	2016	26
107	2017	61
107	2018	30
107	2019	16
107	2020	84
107	2021	173
107	2022	155
107	2023	1
107	2024	41
108	2014	101
108	2015	3
108	2016	26
108	2017	64
108	2018	30
108	2019	17
108	2020	87
108	2021	166
108	2022	160
108	2023	1
108	2024	37
109	2014	94
109	2015	3
109	2016	25
109	2017	62
109	2018	30
109	2019	18
109	2020	84
109	2021	170
109	2022	156
109	2023	1
109	2024	39
110	2014	95
110	2015	3
110	2016	25
110	2017	61
110	2018	28
110	2019	18
110	2020	85
110	2021	175
110	2022	157
110	2023	1
110	2024	40
111	2014	97
111	2015	3
111	2016	26
111	2017	62
111	2018	29
111	2019	18
111	2020	87
111	2021	171
111	2022	155
111	2023	2
111	2024	40
112	2014	100
112	2015	3
112	2016	26
112	2017	63
112	2018	28
112	2019	18
112	2020	87
112	2021	174
112	2022	162
112	2023	1
112	2024	38
113	2014	97
113	2015	2
113	2016	25
113	2017	62
113	2018	29
113	2019	18
113	2020	86
113	2021	174
113	2022	154
113	2023	1
113	2024	39
114	2014	99
114	2015	3
114	2016	27
114	2017	63
114	2018	30
114	2019	17
114	2020	84
114	2021	168
114	2022	165
114	2023	1
114	2024	40
115	2014	95
115	2015	3
115	2016	26
115	2017	61
115	2018	31
115	2019	17
115	2020	85
115	2021	169
115	2022	164
115	2023	1
115	2024	43
116	2014	97
116	2015	3
116	2016	26
116	2017	63
116	2018	29
116	2019	18
116	2020	83
116	2021	171
116	2022	156
116	2023	2
116	2024	38
117	2014	99
117	2015	3
117	2016	27
117	2017	63
117	2018	28
117	2019	18
117	2020	88
117	2021	170
117	2022	154
117	2023	1
117	2024	41
118	2014	96
118	2015	3
118	2016	25
118	2017	64
118	2018	28
118	2019	20
118	2020	81
118	2021	167
118	2022	155
118	2023	2
118	2024	37
119	2014	95
119	2015	3
119	2016	24
119	2017	63
119	2018	29
119	2019	16
119	2020	85
119	2021	171
119	2022	152
119	2023	1
119	2024	39
120	2014	97
120	2015	3
120	2016	26
120	2017	63
120	2018	30
120	2019	17
120	2020	84
120	2021	171
120	2022	150
120	2023	2
120	2024	41
121	2014	96
121	2015	3
121	2016	27
121	2017	61
121	2018	32
121	2019	17
121	2020	88
121	2021	174
121	2022	157
121	2023	2
121	2024	40
122	2014	97
122	2015	3
122	2016	27
122	2017	61
122	2018	31
122	2019	17
122	2020	84
122	2021	166
122	2022	162
122	2023	1
122	2024	42
123	2014	102
123	2015	3
123	2016	24
123	2017	62
123	2018	29
123	2019	18
123	2020	84
123	2021	174
123	2022	157
123	2023	1
123	2024	41
124	2014	98
124	2015	3
124	2016	25
124	2017	61
124	2018	28
124	2019	20
124	2020	86
124	2021	164
124	2022	162
124	2023	1
124	2024	41
125	2014	98
125	2015	2
125	2016	26
125	2017	63
125	2018	32
125	2019	18
125	2020	86
125	2021	174
125	2022	163
125	2023	2
125	2024	39
126	2014	95
126	2015	3
126	2016	25
126	2017	62
126	2018	30
126	2019	19
126	2020	86
126	2021	169
126	2022	160
126	2023	1
126	2024	40
127	2014	98
127	2015	3
127	2016	26
127	2017	62
127	2018	31
127	2019	18
127	2020	81
127	2021	175
127	2022	163
127	2023	1
127	2024	40
128	2014	95
128	2015	3
128	2016	25
128	2017	62
128	2018	29
128	2019	17
128	2020	83
128	2021	170
128	2022	162
128	2023	2
128	2024	40
129	2014	98
129	2015	3
129	2016	26
129	2017	61
129	2018	30
129	2019	18
129	2020	86
129	2021	170
129	2022	150
129	2023	1
129	2024	37
130	2014	94
130	2015	3
130	2016	26
130	2017	61
130	2018	31
130	2019	18
130	2020	85
130	2021	163
130	2022	153
130	2023	2
130	2024	42
131	2014	95
131	2015	3
131	2016	28
131	2017	62
131	2018	33
131	2019	20
131	2020	84
131	2021	172
131	2022	160
131	2023	1
131	2024	42
132	2014	95
132	2015	3
132	2016	25
132	2017	63
132	2018	32
132	2019	19
132	2020	87
132	2021	177
132	2022	165
132	2023	1
132	2024	41
133	2014	101
133	2015	3
133	2016	25
133	2017	63
133	2018	30
133	2019	17
133	2020	83
133	2021	173
133	2022	160
133	2023	2
133	2024	41
134	2014	92
134	2015	3
134	2016	27
134	2017	62
134	2018	31
134	2019	18
134	2020	82
134	2021	170
134	2022	165
134	2023	2
134	2024	41
135	2014	98
135	2015	3
135	2016	25
135	2017	64
135	2018	33
135	2019	17
135	2020	86
135	2021	175
135	2022	153
135	2023	3
135	2024	41
136	2014	99
136	2015	3
136	2016	26
136	2017	63
136	2018	29
136	2019	20
136	2020	84
136	2021	168
136	2022	161
136	2023	1
136	2024	39
137	2014	99
137	2015	3
137	2016	26
137	2017	61
137	2018	29
137	2019	17
137	2020	88
137	2021	170
137	2022	158
137	2023	1
137	2024	42
138	2014	103
138	2015	3
138	2016	25
138	2017	63
138	2018	26
138	2019	19
138	2020	91
138	2021	174
138	2022	167
138	2023	2
138	2024	39
139	2014	99
139	2015	3
139	2016	26
139	2017	64
139	2018	31
139	2019	18
139	2020	88
139	2021	170
139	2022	159
139	2023	1
139	2024	41
140	2014	101
140	2015	3
140	2016	27
140	2017	64
140	2018	32
140	2019	19
140	2020	87
140	2021	169
140	2022	157
140	2023	1
140	2024	39
141	2014	100
141	2015	3
141	2016	26
141	2017	61
141	2018	31
141	2019	17
141	2020	83
141	2021	171
141	2022	160
141	2023	1
141	2024	38
142	2014	96
142	2015	3
142	2016	27
142	2017	62
142	2018	31
142	2019	17
142	2020	85
142	2021	166
142	2022	163
142	2023	1
142	2024	44
143	2014	96
143	2015	3
143	2016	25
143	2017	61
143	2018	31
143	2019	18
143	2020	83
143	2021	165
143	2022	162
143	2023	1
143	2024	41
144	2014	97
144	2015	3
144	2016	26
144	2017	62
144	2018	32
144	2019	16
144	2020	84
144	2021	168
144	2022	159
144	2023	1
144	2024	40
145	2014	97
145	2015	3
145	2016	25
145	2017	62
145	2018	32
145	2019	20
145	2020	87
145	2021	170
145	2022	148
145	2023	1
145	2024	39
146	2014	98
146	2015	3
146	2016	26
146	2017	63
146	2018	30
146	2019	17
146	2020	86
146	2021	170
146	2022	154
146	2023	1
146	2024	38
147	2014	102
147	2015	3
147	2016	26
147	2017	62
147	2018	32
147	2019	18
147	2020	86
147	2021	172
147	2022	151
147	2023	1
147	2024	39
148	2014	103
148	2015	3
148	2016	25
148	2017	63
148	2018	30
148	2019	18
148	2020	86
148	2021	172
148	2022	155
148	2023	1
148	2024	41
149	2014	97
149	2015	3
149	2016	26
149	2017	62
149	2018	31
149	2019	17
149	2020	89
149	2021	172
149	2022	154
149	2023	3
149	2024	41
150	2014	98
150	2015	3
150	2016	25
150	2017	63
150	2018	29
150	2019	18
150	2020	88
150	2021	173
150	2022	153
150	2023	2
150	2024	40
151	2014	100
151	2015	3
151	2016	25
151	2017	64
151	2018	32
151	2019	19
151	2020	85
151	2021	177
151	2022	162
151	2023	2
151	2024	39
152	2014	100
152	2015	3
152	2016	26
152	2017	63
152	2018	31
152	2019	19
152	2020	86
152	2021	175
152	2022	156
152	2023	2
152	2024	41
153	2014	98
153	2015	3
153	2016	25
153	2017	62
153	2018	31
153	2019	17
153	2020	92
153	2021	174
153	2022	164
153	2023	1
153	2024	42
154	2014	100
154	2015	3
154	2016	26
154	2017	62
154	2018	32
154	2019	18
154	2020	88
154	2021	170
154	2022	160
154	2023	1
154	2024	45
155	2014	98
155	2015	3
155	2016	27
155	2017	62
155	2018	29
155	2019	19
155	2020	90
155	2021	170
155	2022	160
155	2023	2
155	2024	42
156	2014	101
156	2015	3
156	2016	25
156	2017	63
156	2018	31
156	2019	18
156	2020	83
156	2021	174
156	2022	153
156	2023	1
156	2024	41
157	2014	104
157	2015	3
157	2016	27
157	2017	62
157	2018	32
157	2019	18
157	2020	81
157	2021	176
157	2022	164
157	2023	2
157	2024	42
158	2014	98
158	2015	3
158	2016	27
158	2017	61
158	2018	32
158	2019	18
158	2020	89
158	2021	172
158	2022	162
158	2023	2
158	2024	41
159	2014	95
159	2015	3
159	2016	26
159	2017	61
159	2018	31
159	2019	18
159	2020	87
159	2021	173
159	2022	160
159	2023	3
159	2024	41
160	2014	97
160	2015	3
160	2016	26
160	2017	61
160	2018	33
160	2019	18
160	2020	89
160	2021	172
160	2022	159
160	2023	1
160	2024	40
161	2014	97
161	2015	3
161	2016	27
161	2017	64
161	2018	33
161	2019	18
