new_group	annotated_feature	max_area	annotated_feature_f
-2569	Unknown MS/MS	1830000	Unknown MS/MS
114	Chimeric MS/MS	987900	Chimeric MS/MS
-2573	Annotated MS/MS	10860000	Annotated MS/MS
-2575	Unknown MS/MS	3329000	Unknown MS/MS
-2576	Chimeric MS/MS	2033000	Chimeric MS/MS
500	Chimeric MS/MS	4833000	Chimeric MS/MS
-2580	Unknown MS/MS	1567000	Unknown MS/MS
501	Unknown MS/MS	10980000	Unknown MS/MS
-2598	Annotated MS/MS	2890000	Annotated MS/MS
-2600	Unknown MS/MS	7302000	Unknown MS/MS
-2601	Unknown MS/MS	1329000	Unknown MS/MS
120	Unknown MS/MS	859800	Unknown MS/MS
-2613	Unknown MS/MS	2562000	Unknown MS/MS
-2614	Unknown MS/MS	3967000	Unknown MS/MS
-2620	Chimeric MS/MS	1458000	Chimeric MS/MS
-2625	Chimeric MS/MS	1162000	Chimeric MS/MS
502	Chimeric MS/MS	3086000	Chimeric MS/MS
-2642	Chimeric MS/MS	1150000	Chimeric MS/MS
122	Chimeric MS/MS	2891000	Chimeric MS/MS
121	Unknown MS/MS	5314000	Unknown MS/MS
504	Chimeric MS/MS	1058000	Chimeric MS/MS
-2654	Chimeric MS/MS	2327000	Chimeric MS/MS
-2656	Chimeric MS/MS	1292000	Chimeric MS/MS
-2664	Chimeric MS/MS	2182000	Chimeric MS/MS
-2667	Unknown MS/MS	1663000	Unknown MS/MS
-2668	Unknown MS/MS	6100000	Unknown MS/MS
-2669	Chimeric MS/MS	2988000	Chimeric MS/MS
-2670	Chimeric MS/MS	946100	Chimeric MS/MS
-2676	Chimeric MS/MS	2786000	Chimeric MS/MS
-2678	Chimeric MS/MS	1288000	Chimeric MS/MS
-2679	Chimeric MS/MS	1750000	Chimeric MS/MS
123	Annotated MS/MS	1.357e+09	Annotated MS/MS
-2682	Chimeric MS/MS	1308000	Chimeric MS/MS
505	Chimeric MS/MS	13190000	Chimeric MS/MS
506	Chimeric MS/MS	4152000	Chimeric MS/MS
-2694	No MS/MS	1168000	No MS/MS
124	Unknown MS/MS	5586000	Unknown MS/MS
-2701	No MS/MS	12390000	No MS/MS
-2702	Chimeric MS/MS	2721000	Chimeric MS/MS
-2705	Chimeric MS/MS	2851000	Chimeric MS/MS
-2709	Unknown MS/MS	1598000	Unknown MS/MS
507	Annotated MS/MS	32750000	Annotated MS/MS
-2715	Unknown MS/MS	1342000	Unknown MS/MS
-2725	No MS/MS	4716000	No MS/MS
-2746	No MS/MS	1636000	No MS/MS
-2757	Unknown MS/MS	2317000	Unknown MS/MS
-2762	No MS/MS	2081000	No MS/MS
-2766	Unknown MS/MS	2180000	Unknown MS/MS
-2767	Unknown MS/MS	4644000	Unknown MS/MS
509	Chimeric MS/MS	7113000	Chimeric MS/MS
-2772	Unknown MS/MS	2222000	Unknown MS/MS
-2773	Unknown MS/MS	2873000	Unknown MS/MS
-2774	Unknown MS/MS	6416000	Unknown MS/MS
126	Chimeric MS/MS	3813000	Chimeric MS/MS
-2778	Chimeric MS/MS	36960000	Chimeric MS/MS
-2781	Unknown MS/MS	1441000	Unknown MS/MS
127	Annotated MS/MS	14470000	Annotated MS/MS
-2783	Unknown MS/MS	6232000	Unknown MS/MS
510	Chimeric MS/MS	18370000	Chimeric MS/MS
-2805	Chimeric MS/MS	2302000	Chimeric MS/MS
511	Unknown MS/MS	1629000	Unknown MS/MS
-2808	Chimeric MS/MS	1055000	Chimeric MS/MS
-2809	Chimeric MS/MS	1832000	Chimeric MS/MS
128	Annotated MS/MS	1792000	Annotated MS/MS
513	Annotated MS/MS	8932000	Annotated MS/MS
512	Unknown MS/MS	2795000	Unknown MS/MS
-2826	Chimeric MS/MS	1422000	Chimeric MS/MS
-2827	Unknown MS/MS	19150000	Unknown MS/MS
-2835	Chimeric MS/MS	1445000	Chimeric MS/MS
-2838	Unknown MS/MS	1703000	Unknown MS/MS
131	Chimeric MS/MS	5083000	Chimeric MS/MS
-2845	Chimeric MS/MS	939900	Chimeric MS/MS
514	Unknown MS/MS	6363000	Unknown MS/MS
-2849	Unknown MS/MS	1353000	Unknown MS/MS
-2851	Unknown MS/MS	2161000	Unknown MS/MS
-2852	No MS/MS	2299000	No MS/MS
130	Chimeric MS/MS	1683000	Chimeric MS/MS
-2860	Chimeric MS/MS	1782000	Chimeric MS/MS
132	Annotated MS/MS	20780000	Annotated MS/MS
-2868	Annotated MS/MS	1577000	Annotated MS/MS
133	Annotated MS/MS	3035000	Annotated MS/MS
134	Chimeric MS/MS	10990000	Chimeric MS/MS
136	Unknown MS/MS	1393000	Unknown MS/MS
-2894	Unknown MS/MS	2650000	Unknown MS/MS
518	Chimeric MS/MS	4135000	Chimeric MS/MS
137	Unknown MS/MS	971700	Unknown MS/MS
519	No MS/MS	12890000	No MS/MS
-2918	No MS/MS	1137000	No MS/MS
520	Chimeric MS/MS	13200000	Chimeric MS/MS
-2922	Unknown MS/MS	1667000	Unknown MS/MS
-2923	Chimeric MS/MS	1505000	Chimeric MS/MS
-2927	Unknown MS/MS	4883000	Unknown MS/MS
-2931	Chimeric MS/MS	3441000	Chimeric MS/MS
-2932	Chimeric MS/MS	1620000	Chimeric MS/MS
-2935	Chimeric MS/MS	1946000	Chimeric MS/MS
-2939	Chimeric MS/MS	1867000	Chimeric MS/MS
522	Chimeric MS/MS	1840000	Chimeric MS/MS
138	Annotated MS/MS	44830000	Annotated MS/MS
-2946	Chimeric MS/MS	1106000	Chimeric MS/MS
139	Chimeric MS/MS	4364000	Chimeric MS/MS
523	Unknown MS/MS	2728000	Unknown MS/MS
-2965	Annotated MS/MS	2337000	Annotated MS/MS
-2970	Unknown MS/MS	1206000	Unknown MS/MS
524	Annotated MS/MS	4651000	Annotated MS/MS
-2979	Annotated MS/MS	2482000	Annotated MS/MS
-2982	Unknown MS/MS	2425000	Unknown MS/MS
-2986	Chimeric MS/MS	878900	Chimeric MS/MS
-2991	Chimeric MS/MS	1850000	Chimeric MS/MS
