peak_id,rt,mz,intensity,homologue_id,within_series_id
13627,6.0127,540.3304,135100,150,3
13704,6.1041,562.34352,194700,150,4
13807,6.1994,584.3566,237200,150,5
14304,6.7536,492.96917,37610,149,1
14445,6.8669,507.64449,83280,149,2
14538,6.9241,522.32003,48750,149,3
14504,6.9791,536.99543,75990,149,4
14568,7.0341,551.67075,34960,149,5
14717,7.0919,566.3461,33740,149,6
14699,7.1295,581.02141,17910,149,7
13531,5.9197,488.29272,18760,148,1
13637,6.0271,510.30572,37400,148,2
13716,6.116,532.31891,48490,148,3
13818,6.2078,554.33201,72550,148,4
13812,6.2959,576.34509,89390,148,5
13962,6.3727,598.35818,115800,148,6
14043,6.4537,620.37126,130600,148,7
14118,6.5284,642.38426,129700,148,8
14187,6.6018,664.3973,124300,148,9
14242,6.6701,686.41018,103600,148,10
14318,6.7361,708.4232,78460,148,11
14301,6.7973,730.43625,46920,148,12
14361,6.7991,486.95918,27730,147,1
14428,6.8615,501.63436,26320,147,2
14537,6.9221,516.30987,21510,147,3
14622,6.9786,530.98492,17070,147,4
14658,7.0346,545.6608,17440,147,5
14331,6.7422,484.63807,16670,146,1
14433,6.8643,513.98877,46110,146,2
14596,6.9824,543.33932,38480,146,3
14713,7.0874,572.69025,47130,146,4
14728,7.1886,602.04124,25130,146,5
14213,6.6787,484.30271,75630,145,1
14434,6.8645,513.65433,157600,145,2
14591,6.9804,543.00513,180900,145,3
14718,7.092,572.35603,135500,145,4
14801,7.1972,601.70696,60450,145,5
14830,7.2719,631.05772,24520,145,6
24059,10.6681,482.1536,19350,144,1
24840,10.8357,556.17243,93950,144,2
25522,11.0254,630.19175,283100,144,3
26407,11.2694,704.21111,650600,144,4
27515,11.6078,778.23045,722800,144,5
28667,12.0648,852.24968,633200,144,6
29912,12.68,926.26875,512500,144,7
31822,13.5116,1000.28794,408400,144,8
35163,14.6324,1074.30709,179300,144,9
22224,10.4256,481.35251,347100,143,1
23679,10.5495,509.38392,467400,143,2
24136,10.679,537.41534,193800,143,3
24642,10.8088,565.44644,25560,143,4
25619,11.012,593.4777,99020,143,5
24060,10.6682,481.15694,30670,142,1
24847,10.8361,555.17621,162100,142,2
25529,11.0259,629.19521,438700,142,3
26406,11.2694,703.21402,907300,142,4
27514,11.6078,777.23287,984900,142,5
28670,12.0652,851.25183,806300,142,6
29911,12.68,925.27066,624200,142,7
31817,13.5108,999.28969,463700,142,8
35169,14.6323,1073.30858,190100,142,9
24068,10.6682,480.15731,105300,141,1
24839,10.8357,554.17603,414100,141,2
25526,11.0255,628.19478,856100,141,3
26405,11.2694,702.21349,1448000,141,4
27513,11.6078,776.23227,1379000,141,5
28666,12.0648,850.25116,1032000,141,6
29906,12.6787,924.27004,729500,141,7
31828,13.512,998.28896,499000,141,8
35166,14.6323,1072.30791,190000,141,9
13524,5.9211,479.27765,16200,140,1
13635,6.0224,501.29074,24060,140,2
13722,6.1201,523.30378,28310,140,3
13813,6.2077,545.31699,35430,140,4
13896,6.2906,567.32989,34540,140,5
13960,6.3717,589.34314,34730,140,6
14035,6.4547,611.35621,29060,140,7
14115,6.5276,633.36926,32610,140,8
14178,6.5986,655.38236,24250,140,9
14236,6.6631,677.39539,23330,140,10
12685,4.7423,477.23097,14500,139,1
12854,4.9588,521.25715,26120,139,2
12994,5.1534,565.28336,26880,139,3
13112,5.33,609.3095,28630,139,4
13197,5.4906,653.33558,25440,139,5
13279,5.639,697.3618,19050,139,6
12671,4.736,473.27893,17010,138,1
12850,4.9564,517.30525,51130,138,2
12990,5.15,561.33138,103100,138,3
13107,5.3275,605.3576,154900,138,4
13193,5.4887,649.38365,194100,138,5
13275,5.6369,693.40981,184000,138,6
13394,5.7765,737.43601,130000,138,7
13508,5.9074,781.46227,88980,138,8
