id_number,rtime,mz,kp,interim_id,isotope,modification,ion_relation
12195,255.349362,186.007383060569,,,,,
12196,254.540778,307.17662332561,kp1294_306.1695,root@306.1695,M0,M+H+,"M0,M+H+"
12197,254.25918,249.159845519712,,,,,
12199,254.92938,291.095222950973,,,,,
12200,254.565156,197.128507444594,,,,,
12201,254.83224,205.097233234853,,,,,
12202,255.16806,181.133547442523,,,,,
12203,255.048324,172.976989608622,,,,,
12204,254.855004,269.113275452912,kp1295_268.106,root@268.106,M0,M+H+,"M0,M+H+"
12205,254.795382,270.116618162566,kp1295_268.106,root@268.106,13C 1,M+H+,"13C 1,M+H+"
12206,253.84146,597.236840864582,,,,,
12207,254.96406,313.154817212864,kp1297_310.1531,root@310.1531,15N 2,M+H+,"15N 2,M+H+"
12208,254.99178,178.086252847956,,,,,
12209,254.800584,255.170399258473,,,,,
12210,255.1932,319.16535613498,,,,,
12211,254.86632,277.154780004523,,,,,
12212,254.3652,120.080743037844,,,,,
12213,256.36677,180.101914562288,,,,,
12214,257.47248,186.034151130399,,,,,
12215,255.54342,187.04580749953,,,,,
12216,256.004508,407.238932128829,,,,,
12217,254.613618,167.048462122864,kp1291_165.0443,root@165.0443,15N 1,M+H+,"15N 1,M+H+"
12218,255.224016,322.176330568019,,,,,
12220,255.70014,121.064775439658,,,,,
12221,255.924024,244.154414547123,,,,,
12222,255.818622,320.124199240338,,,,,
12223,256.732836,474.258833510862,,,,,
12224,256.19052,197.000819289635,,,,,
12225,256.990044,214.987608443144,kp1296_213.9803,root@213.9803,M0,M+H+,"M0,M+H+"
12226,256.62564,140.001913431398,,,,,
12227,256.15692,219.112855234666,,,,,
12228,257.08326,164.029814624519,,,,,
12229,256.247604,199.144147338822,,,,,
12230,256.34763,312.163598256894,kp1297_310.1531,root@310.1531,13C 1,M+H+,"13C 1,M+H+"
12231,256.6758,233.100207168566,kp1298_231.0896,root@231.0896,13C 1,M+H+,"13C 1,M+H+"
12232,256.374318,311.160258911464,kp1297_310.1531,root@310.1531,M0,M+H+,"M0,M+H+"
12233,256.57551,188.070609490772,,,,,
12234,256.54548,261.087045677165,,,,,
12236,256.658676,232.096875043221,kp1298_231.0896,root@231.0896,M0,M+H+,"M0,M+H+"
12237,256.2837,288.180696191908,,,,,
12238,258.08352,296.965623397873,,,,,
12239,256.89348,181.028437514353,,,,,
12241,259.1097,263.139110353043,kp1300_262.1318,root@262.1318,M0,M+H+,"M0,M+H+"
12242,257.03598,349.175930836,,,,,
12243,254.77032,173.136573681856,kp1301_171.1259,root@171.1259,13C 1,M+H+,"13C 1,M+H+"
12244,257.028924,214.003585559455,,,,,
12245,256.950216,314.175252948128,,,,,
12246,256.68186,327.191574755456,,,,,
12247,257.11206,293.149671402278,,,,,
12248,257.164824,269.959804847795,,,,,
12249,257.10816,251.175466836077,,,,,
12250,257.5026,285.180956507813,,,,,
12251,257.322438,327.101125486138,,,,,
12252,257.92908,240.054388946307,,,,,
12253,258.93822,256.190787910882,,,,,
12254,255.862056,172.133216252398,kp1301_171.1259,root@171.1259,M0,M+H+,"M0,M+H+"
12257,257.7279,217.154723844307,,,,,
12258,257.484342,231.970973345113,,,,,
12259,257.478816,200.971955995544,,,,,
12260,257.83161,311.106183368412,,,,,
12261,257.70342,394.197416537781,,,,,
12262,257.8677,316.211960269612,,,,,
12263,258.29748,201.123390078754,,,,,
12264,258.805764,325.17592333852,,,,,
12265,258.18318,211.107750563372,,,,,
12266,258.80124,256.014243895618,,,,,
12267,259.34118,346.19739583186,,,,,
12268,258.374262,188.10699610854,kp1302_187.0997,root@187.0997,M0,M+H+,"M0,M+H+"
12269,258.7914,218.100521908451,kp1303_216.0899,root@216.0899,13C 1,M+H+,"13C 1,M+H+"
12270,258.336156,189.110334563804,kp1302_187.0997,root@187.0997,13C 1,M+H+,"13C 1,M+H+"
12271,259.70982,131.081523079161,,,,,
12272,257.51364,181.033475826337,,,,,
12273,258.771402,245.135980247218,,,,,
12274,258.76056,268.211928049234,,,,,
12275,259.113636,245.186040447473,,,,,
12276,259.177182,364.175344762788,kp1304_361.1739,root@361.1739,15N 2,M+H+,"15N 2,M+H+"
12277,258.76554,217.097195565366,kp1303_216.0899,root@216.0899,M0,M+H+,"M0,M+H+"
12278,258.889818,362.181077132435,kp1304_361.1739,root@361.1739,M0,M+H+,"M0,M+H+"
12279,258.77802,223.154065745906,,,,,
12280,259.95492,165.05090143599,,,,,
12281,258.685056,144.023615843685,kp1306_143.0163,root@143.0163,M0,M+H+,"M0,M+H+"
12282,258.79044,285.120952643665,,,,,
12283,258.876744,144.080796332733,,,,,
12284,259.078104,279.170450814453,,,,,
12285,259.25532,155.12600352014,,,,,
12286,257.13798,215.990965752004,kp1296_213.9803,root@213.9803,13C 1,M+H+,"13C 1,M+H+"
12287,259.9728,264.142369669051,kp1300_262.1318,root@262.1318,13C 1,M+H+,"13C 1,M+H+"
12288,261.19482,311.198119626256,kp1312_309.1941,root@309.1941,15N 1,M+H+,"15N 1,M+H+"
12289,259.779882,250.954376053332,,,,,
12290,259.6407,246.112533956083,,,,,
12291,259.57002,243.133989144168,,,,,
12292,259.67016,327.201479382221,,,,,
12293,259.67016,344.228029393877,kp1307_343.2208,root@343.2208,M0,M+H+,"M0,M+H+"
12294,258.50793,172.976988839312,,,,,
12295,259.762542,172.01849215835,,,,,
12296,259.62942,349.183370521927,,,,,
12297,259.697916,372.259371608795,,,,,
12298,259.674198,345.23138242102,kp1307_343.2208,root@343.2208,13C 1,M+H+,"13C 1,M+H+"
12299,259.9353,385.175966492881,,,,,
12300,260.1249,140.001909627866,,,,,
12302,258.4728,146.019259872958,kp1306_143.0163,root@143.0163,34S 1,M+H+,"34S 1,M+H+"
12303,258.81057,199.001269723763,kp1293_194.0,root@194.0,81Br 2,M+H+,"81Br 2,M+H+"
12304,260.525724,310.147265915412,,,,,
12305,260.64846,257.186063325485,,,,,
12306,259.971,198.004250869978,kp1293_194.0,root@194.0,15N 3,M+H+,"15N 3,M+H+"
12307,260.3265,324.179378147898,kp1308_317.1855,root@317.1855,34S 3,M+H+,"34S 3,M+H+"
12308,259.464,241.998556996538,,,,,
12309,260.49498,197.000815779824,kp1293_194.0,root@194.0,34S 1,M+H+,"34S 1,M+H+"
12310,262.612584,274.201354545634,,,,,
12311,260.6073,195.087684615631,,,,,
12312,260.36682,275.102732902336,,,,,
12313,260.80221,185.128459501967,,,,,
12315,260.94396,360.213056365795,,,,,
12316,261.16518,363.162617330014,,,,,
12317,260.98764,386.23861861465,,,,,
12318,260.949642,358.207320830991,,,,,
12320,261.15234,124.024345700823,,,,,
12321,260.945436,345.213415238137,,,,,
12323,263.347578,263.139103022445,kp1299_262.1318,root@262.1318,M0,M+H+,"M0,M+H+"
12324,261.622896,120.0807427623,,,,,
12325,260.417004,285.932373633268,,,,,
12326,261.12702,341.180767448397,,,,,
12327,261.853236,258.170073291356,,,,,
12328,261.903102,319.194643747964,kp1308_317.1855,root@317.1855,13C 1,M+H+,"13C 1,M+H+"
12329,262.82292,194.117592215139,,,,,
12330,258.973644,180.030519637401,,,,,
12331,263.68254,183.023998564973,kp1317_180.021,root@180.021,34S 1,M+H+,"34S 1,M+H+"
12332,259.37112,203.006699694846,,,,,
12333,261.6729,332.218098000051,,,,,
12334,262.282164,229.154704264297,,,,,
12335,261.916692,318.202319908794,,,,,
12336,262.114536,269.149657092005,,,,,
12338,261.84888,188.128108621483,,,,,
12339,261.664236,303.134010358798,,,,,
12340,261.863136,211.14415967891,,,,,
12341,262.52544,264.142365063162,kp1299_262.1318,root@262.1318,13C 1,M+H+,"13C 1,M+H+"
12342,262.04118,318.19123217228,kp1308_317.1855,root@317.1855,M0,M+H+,"M0,M+H+"
12343,263.49168,597.236764298372,,,,,
12344,261.023484,222.000982729118,,,,,
12345,262.19148,136.11209797946,,,,,
12346,262.39497,153.138639649385,,,,,
12347,261.79494,154.122659949336,kp1310_153.1154,root@153.1154,M0,M+H+,"M0,M+H+"
12349,261.716682,269.959844911884,,,,,
12350,260.073738,167.048455344615,,,,,
12351,262.678788,400.217882405424,,,,,
12352,262.26,273.954734400391,,,,,
12354,263.794758,271.916570424845,,,,,
12355,263.053668,237.131473915428,kp1314_235.1209,root@235.1209,13C 1,M+H+,"13C 1,M+H+"
12356,263.25216,403.218924525192,,,,,
12357,262.84416,410.19230677917,,,,,
12358,262.72908,223.012597230344,,,,,
12360,262.79763,309.180992211893,kp1311_308.174,root@308.174,M0,M+H+,"M0,M+H+"
12361,262.8258,310.184925154108,kp1311_308.174,root@308.174,13C 1,M+H+,"13C 1,M+H+"
12362,262.79391,372.186563845907,,,,,
12364,261.470778,407.238897879501,,,,,
12365,261.790896,346.197400993412,,,,,
12366,263.142612,255.142062654297,kp1313_253.1314,root@253.1314,13C 1,M+H+,"13C 1,M+H+"
12367,263.08218,201.091021573095,,,,,
12368,263.1873,310.190420416092,,,,,
12369,262.60557,114.073317131022,,,,,
12370,263.12532,310.212519817814,,,,,
12371,262.904178,310.20133082403,kp1312_309.1941,root@309.1941,M0,M+H+,"M0,M+H+"
12372,264.31572,246.20645056328,,,,,
12373,263.124276,332.183369892823,,,,,
12374,263.12472,312.208326465598,kp1312_309.1941,root@309.1941,13C 2,M+H+,"13C 2,M+H+"
12375,263.16756,254.138732509551,kp1313_253.1314,root@253.1314,M0,M+H+,"M0,M+H+"
12376,263.168418,311.204671171411,kp1312_309.1941,root@309.1941,13C 1,M+H+,"13C 1,M+H+"
12377,263.21151,236.128156460973,kp1314_235.1209,root@235.1209,M0,M+H+,"M0,M+H+"
12378,263.25144,427.280428735585,,,,,
12379,263.31894,225.1234097454,kp1315_224.1161,root@224.1161,M0,M+H+,"M0,M+H+"
12381,262.1247,146.019261685868,kp1305_143.0163,root@143.0163,34S 1,M+H+,"34S 1,M+H+"
12382,263.49606,199.001273069563,,,,,
12383,263.50368,294.133680723687,,,,,
12384,266.42406,231.112848140829,,,,,
12385,263.64558,226.126750397322,kp1315_224.1161,root@224.1161,13C 1,M+H+,"13C 1,M+H+"
12386,263.8278,321.189042084001,kp1308_317.1855,root@317.1855,15N 3,M+H+,"15N 3,M+H+"
12387,263.79996,320.185725068695,kp1308_317.1855,root@317.1855,15N 2,M+H+,"15N 2,M+H+"
12388,263.87022,229.0641827549,,,,,
12389,261.77748,172.976991026755,,,,,
12390,263.93772,277.118324021256,,,,,
12391,261.5745,181.028440332655,kp1317_180.021,root@180.021,M0,M+H+,"M0,M+H+"
12393,264.06894,296.21449245639,,,,,
12394,263.19876,257.186046269015,,,,,
12395,264.20856,325.175911437639,,,,,
12396,264.17964,326.179211642842,kp1309_319.1783,root@319.1783,81Br 3,M+H+,"81Br 3,M+H+"
12397,264.021576,296.716198822154,,,,,
12398,264.371478,335.160252681668,kp1318_334.153,root@334.153,M0,M+H+,"M0,M+H+"
12399,264.345816,321.180962314841,,,,,
12400,264.09978,120.080738763742,,,,,
12401,264.584658,541.338663810008,,,,,
12402,260.30436,187.045809145266,,,,,
12404,264.297924,245.186030915902,,,,,
12405,264.49086,263.102711809828,,,,,
12406,262.740696,100.075625158215,,,,,
12407,264.95814,377.228365649873,,,,,
12408,263.100498,172.018494684187,,,,,
12409,264.77724,371.265478249949,,,,,
12410,263.26356,197.000817859055,,,,,
12411,265.044024,286.143872708784,,,,,
12412,264.571836,295.165362286657,,,,,
12413,264.418776,336.163583066687,kp1318_334.153,root@334.153,13C 1,M+H+,"13C 1,M+H+"
12414,265.31676,576.287858137054,,,,,
12415,265.218,288.191890607464,,,,,
12416,265.24308,180.101901147289,,,,,
12417,265.26801,297.181013384752,,,,,
12418,265.58316,191.154281077037,,,,,
12419,265.41054,239.139082499769,,,,,
12420,265.40808,307.081345048736,,,,,
12421,265.27284,310.173777367791,,,,,
12422,265.518,277.158223897345,,,,,
12423,266.124456,263.139109273938,,,,,
12424,265.8342,214.003585304432,,,,,
12426,266.60634,124.024311588814,,,,,
12427,266.58648,274.201363934178,,,,,
12428,263.54679,214.987612567193,,,,,
12429,263.23365,155.126004313971,kp1310_153.1154,root@153.1154,13C 1,M+H+,"13C 1,M+H+"
12430,265.1913,164.02982070267,,,,,
12431,261.9573,300.180714780842,,,,,
12432,265.478496,173.13657448828,kp1319_171.1259,root@171.1259,13C 1,M+H+,"13C 1,M+H+"
12433,267.552078,285.121002703473,,,,,
12434,268.41792,186.007454707976,,,,,
12435,267.07776,376.173241979694,,,,,
12436,267.35448,261.08696967656,,,,,
12437,264.216498,140.001907205019,,,,,
12438,268.229682,297.190859940698,,,,,
12439,267.72264,271.916574539386,,,,,
12440,265.687836,285.932335455229,,,,,
12441,267.600318,326.171180160547,,,,,
12442,267.53022,773.305300246736,,,,,
12443,267.62874,188.070610687678,,,,,
12444,267.56658,280.154443459307,,,,,
12445,267.037122,192.055685532203,,,,,
12446,265.943298,241.998565122019,,,,,
12447,265.320738,144.023628702212,kp1305_143.0163,root@143.0163,M0,M+H+,"M0,M+H+"
12448,267.99525,319.165362997008,,,,,
12449,267.80898,190.993086918101,,,,,
12450,268.42986,249.159828633792,,,,,
12451,268.29924,314.217468776912,,,,,
12452,267.187956,172.133209224758,kp1319_171.1259,root@171.1259,M0,M+H+,"M0,M+H+"
12453,266.15832,250.954380140713,,,,,
12454,268.632972,158.096443056154,,,,,
12455,268.831416,231.112860051453,kp1316_230.1056,root@230.1056,M0,M+H+,"M0,M+H+"
12456,268.8303,214.086303509825,,,,,
12457,267.60948,320.185752243792,kp1309_319.1783,root@319.1783,M0,M+H+,"M0,M+H+"
