peak_id,rt,mz,intensity,homologue_id,within_series_id
19569,10.0226,589.3717,21660,353,3
20714,10.2208,617.4031,13740,353,4
22589,10.4364,645.43404,29590,353,5
13712,6.1145,532.82073,14810,352,1
13825,6.2077,554.83382,22400,352,2
13910,6.2962,576.84681,29340,352,3
13971,6.3761,598.85986,35000,352,4
14038,6.4518,620.87287,38590,352,5
14120,6.5298,642.88575,38200,352,6
14179,6.5976,664.89887,42330,352,7
14239,6.6701,686.9118,35050,352,8
14322,6.7355,708.92478,26970,352,9
14388,6.8016,730.93777,13310,352,10
27331,11.5459,524.45235,24190,351,1
27552,11.6168,568.47843,31100,351,2
27767,11.704,612.50488,35220,351,3
28058,11.7971,656.53059,34860,351,4
28366,11.9301,700.5569,34310,351,5
28694,12.0668,744.58328,28270,351,6
13713,6.1143,523.80548,10930,350,1
13828,6.2063,545.81859,10710,350,2
13913,6.2879,567.83178,11630,350,3
13958,6.3758,589.8448,14300,350,4
14028,6.4491,611.85789,17810,350,5
14114,6.5261,633.87102,14390,350,6
14190,6.5957,655.88403,13540,350,7
14256,6.665,677.89704,8318,350,8
18869,9.8386,519.32961,340900,349,1
20159,10.1235,547.36078,693900,349,2
22571,10.3716,575.39225,187000,349,3
22822,10.476,603.4242,76610,349,4
23444,10.5527,631.45503,36260,349,5
13656,6.0308,519.32191,57930,348,1
13804,6.2049,585.35965,48540,348,2
14006,6.4374,651.39893,109700,348,3
14223,6.6506,717.43822,98680,348,4
14410,6.8678,783.47755,60020,348,5
19868,10.0431,518.39024,9385,347,1
21473,10.3342,537.41556,13820,347,2
24369,10.7328,556.44224,306800,347,3
26225,11.1914,575.46723,153600,347,4
27491,11.6067,594.49412,6708,347,5
13519,5.9134,518.31732,62770,346,1
13807,6.1994,584.3566,237200,346,2
14008,6.4388,650.39583,393200,346,3
14219,6.6536,716.43503,521000,346,4
14408,6.8476,782.47445,147700,346,5
12857,4.9562,518.30717,6634,345,1
12991,5.1498,562.33363,16700,345,2
13108,5.3285,606.35992,26550,345,3
13195,5.4897,650.38603,39700,345,4
13278,5.6389,694.41218,36480,345,5
13391,5.776,738.43853,27230,345,6
13509,5.9075,782.46485,20590,345,7
13650,6.0276,826.4914,10060,345,8
12969,5.1176,516.30184,18370,344,1
13094,5.3113,560.32794,24990,344,2
13189,5.4848,604.35407,39810,344,3
13287,5.6442,648.38022,40830,344,4
13410,5.7911,692.40635,27920,344,5
13534,5.9253,736.43269,17440,344,6
26659,11.3487,511.43987,14450,343,1
26868,11.4003,555.46612,17870,343,2
27129,11.4684,599.49218,16460,343,3
27376,11.5496,643.5185,12690,343,4
27635,11.653,687.54503,10200,343,5
27994,11.7773,731.57068,7935,343,6
30776,13.0513,510.48821,11220,342,1
31351,13.3131,524.50375,29040,342,2
31909,13.6315,538.51964,46610,342,3
33216,14.0128,552.53533,18140,342,4
34546,14.4474,566.55078,62610,342,5
26650,11.3467,510.4363,60280,341,1
26865,11.3988,554.46282,65210,341,2
27098,11.4672,598.48908,55680,341,3
27336,11.549,642.51536,42820,341,4
27630,11.6433,686.54123,28390,341,5
27993,11.7617,730.56744,21140,341,6
28368,11.9115,774.59362,13190,341,7
28751,12.0979,818.61981,8083,341,8
19549,10.044,510.34254,22890,340,1
21196,10.2535,538.37375,43830,340,2
22614,10.461,566.40516,27250,340,3
23379,10.5536,594.43677,42750,340,4
24016,10.6376,622.46808,7510,340,5
18823,9.828,509.30952,10780,339,1
19397,9.978,537.34117,27820,339,2
20539,10.1244,565.37202,83280,339,3
20976,10.248,593.40332,40100,339,4
21460,10.308,621.43515,8923,339,5
18847,9.8162,507.29318,9471,338,1
20245,10.116,519.32933,854200,338,2
21739,10.3769,531.36674,145900,338,3
24001,10.6346,543.40492,6379,338,4
24634,10.7378,555.44334,32830,338,5
12718,4.8007,506.31741,11430,337,1
12881,4.9851,550.34365,41140,337,2
13002,5.1573,594.36979,82380,337,3
13098,5.3169,638.39597,158900,337,4
13168,5.4651,682.42204,216400,337,5
13257,5.6027,726.44826,245500,337,6
13354,5.7316,770.47452,179100,337,7
13461,5.8525,814.50077,111300,337,8
13572,5.9675,858.52708,54060,337,9
13676,6.0746,902.5532,27740,337,10
13785,6.1686,946.57981,14790,337,11
12675,4.7395,500.3068,22180,336,1
12852,4.9583,544.33304,38320,336,2
12997,5.154,588.35922,38390,336,3
13111,5.3299,632.38542,41640,336,4
13196,5.4906,676.41146,36660,336,5
13280,5.6403,720.4377,30610,336,6
13405,5.7779,764.46383,17640,336,7
18840,9.8532,499.36315,8255,335,1
19296,10.0077,525.37898,31500,335,2
20596,10.1408,551.39441,50500,335,3
21098,10.2709,577.40924,27990,335,4
21764,10.3239,603.42443,50140,335,5
14305,6.7382,498.97898,61500,334,1
14415,6.8514,528.32978,86070,334,2
14559,6.9664,557.6806,65880,334,3
14692,7.0718,587.03143,49950,334,4
14776,7.186,616.38233,36950,334,5
14302,6.7335,498.6447,152700,333,1
14413,6.8509,527.99545,252200,333,2
14564,6.9636,557.34624,124400,333,3
14691,7.0753,586.69714,101900,333,4
14777,7.1759,616.04797,55420,333,5
18381,9.7008,497.34719,56620,332,1
19334,9.9258,523.36271,59330,332,2
20291,10.1247,549.37772,105300,332,3
21782,10.3234,575.39231,615700,332,4
22556,10.433,601.40817,41660,332,5
13521,5.9298,497.30876,10150,331,1
13636,6.0269,519.32104,42020,331,2
13727,6.1209,541.33418,128600,331,3
13826,6.2106,563.34697,151000,331,4
13906,6.2958,585.35996,226000,331,5
13968,6.3764,607.37309,250200,331,6
14045,6.455,629.3861,343100,331,7
14125,6.5299,651.3991,317000,331,8
14185,6.6017,673.41212,375000,331,9
14240,6.6695,695.42517,373100,331,10
14321,6.7366,717.43828,244900,331,11
14368,6.8011,739.45136,250400,331,12
14431,6.8622,761.4644,149300,331,13
14531,6.9209,783.47749,102600,331,14
14581,6.9718,805.49067,36980,331,15
13424,5.8632,496.80591,21110,330,1
13522,5.9469,518.81902,86610,330,2
13630,6.03,540.83213,84220,330,3
13708,6.1109,562.84522,106900,330,4
13802,6.1982,584.85831,160200,330,5
13880,6.283,606.87148,227000,330,6
13946,6.3677,628.8845,245500,330,7
14004,6.4369,650.89753,289300,330,8
13415,5.8258,496.30419,41810,329,1
13704,6.1041,562.34352,194700,329,2
13944,6.3581,628.38281,398400,329,3
14161,6.5807,694.42197,458600,329,4
14350,6.7831,760.46126,223200,329,5
14557,6.9782,826.50081,34850,329,6
14798,7.1836,892.54036,8811,329,7
21020,10.2136,494.34748,54050,328,1
21432,10.3164,522.37901,55620,328,2
22513,10.4532,550.41034,58160,328,3
23870,10.6232,578.44178,36620,328,4
24686,10.7802,606.473,32330,328,5
18425,9.7573,492.30195,4138,327,1
19509,10.0197,520.33267,81980,327,2
21593,10.2568,548.36429,140000,327,3
22403,10.3732,576.39575,65620,327,4
22826,10.4843,604.42764,8186,327,5
13531,5.9197,488.29272,18760,326,1
13637,6.0271,510.30572,37400,326,2
13716,6.116,532.31891,48490,326,3
13818,6.2078,554.33201,72550,326,4
13812,6.2959,576.34509,89390,326,5
13962,6.3727,598.35818,115800,326,6
14043,6.4537,620.37126,130600,326,7
14118,6.5284,642.38426,129700,326,8
14187,6.6018,664.3973,124300,326,9
14242,6.6701,686.41018,103600,326,10
14318,6.7361,708.4232,78460,326,11
14301,6.7973,730.43625,46920,326,12
14393,6.7989,487.29359,18430,325,1
14443,6.8638,501.96894,15570,325,2
14543,6.9232,516.6442,12680,325,3
14619,6.9793,531.3199,13290,325,4
14654,7.017,545.99524,11520,325,5
19404,9.9438,487.26642,16820,324,1
19466,10.0182,515.29818,70830,324,2
20193,10.113,543.3292,128800,324,3
20753,10.202,571.36067,75340,324,4
21840,10.3406,599.39236,12100,324,5
14361,6.7991,486.95918,27730,323,1
14428,6.8615,501.63436,26320,323,2
14537,6.9221,516.30987,21510,323,3
14622,6.9786,530.98492,17070,323,4
14658,7.0346,545.6608,17440,323,5
14721,7.0829,560.33609,9643,323,6
19738,10.0274,486.34262,25160,322,1
20542,10.1367,514.37393,54810,322,2
21532,10.2482,542.40544,93100,322,3
22431,10.3785,570.43666,90350,322,4
23021,10.5153,598.46806,15430,322,5
14331,6.7422,484.63807,16670,321,1
14433,6.8643,513.98877,46110,321,2
14596,6.9824,543.33932,38480,321,3
14713,7.0874,572.69025,47130,321,4
14728,7.1886,602.04124,25130,321,5
14213,6.6787,484.30271,75630,320,1
14434,6.8645,513.65433,157600,320,2
14591,6.9804,543.00513,180900,320,3
14718,7.092,572.35603,135500,320,4
14801,7.1972,601.70696,60450,320,5
14830,7.2719,631.05772,24520,320,6
14228,6.6665,483.96932,109200,319,1
14356,6.7967,513.32002,227600,319,2
14512,6.9169,542.67083,206000,319,3
14642,7.0235,572.02179,183200,319,4
14734,7.1203,601.37258,62560,319,5
14839,7.2267,630.72344,37040,319,6
14230,6.6643,483.63483,160200,318,1
14354,6.7864,512.98561,227200,318,2
14506,6.9079,542.33639,204800,318,3
14641,7.0189,571.68723,156000,318,4
14736,7.125,601.03813,108200,318,5
14834,7.2275,630.38895,32860,318,6
24059,10.6681,482.1536,19350,317,1
24840,10.8357,556.17243,93950,317,2
25522,11.0254,630.19175,283100,317,3
26407,11.2694,704.21111,650600,317,4
27515,11.6078,778.23045,722800,317,5
28667,12.0648,852.24968,633200,317,6
29912,12.68,926.26875,512500,317,7
31822,13.5116,1000.28794,408400,317,8
35163,14.6324,1074.30709,179300,317,9
24060,10.6682,481.15694,30670,316,1
24847,10.8361,555.17621,162100,316,2
25529,11.0259,629.19521,438700,316,3
26406,11.2694,703.21402,907300,316,4
27514,11.6078,777.23287,984900,316,5
28670,12.0652,851.25183,806300,316,6
29911,12.68,925.27066,624200,316,7
31817,13.5108,999.28969,463700,316,8
35169,14.6323,1073.30858,190100,316,9
24068,10.6682,480.15731,105300,315,1
24839,10.8357,554.17603,414100,315,2
25526,11.0255,628.19478,856100,315,3
26405,11.2694,702.21349,1448000,315,4
27513,11.6078,776.23227,1379000,315,5
28666,12.0648,850.25116,1032000,315,6
29906,12.6787,924.27004,729500,315,7
31828,13.512,998.28896,499000,315,8
35166,14.6323,1072.30791,190000,315,9
13524,5.9211,479.27765,16200,314,1
13635,6.0224,501.29074,24060,314,2
13722,6.1201,523.30378,28310,314,3
13813,6.2077,545.31699,35430,314,4
13896,6.2906,567.32989,34540,314,5
13960,6.3717,589.34314,34730,314,6
14035,6.4547,611.35621,29060,314,7
14115,6.5276,633.36926,32610,314,8
14178,6.5986,655.38236,24250,314,9
14236,6.6631,677.39539,23330,314,10
14325,6.7389,478.29372,28000,313,1
14445,6.8669,507.64449,83280,313,2
14504,6.9791,536.99543,75990,313,3
14717,7.0919,566.3461,33740,313,4
14791,7.1843,595.6968,13720,313,5
12685,4.7423,477.23097,14500,312,1
12854,4.9588,521.25715,26120,312,2
12994,5.1534,565.28336,26880,312,3
13112,5.33,609.3095,28630,312,4
13197,5.4906,653.33558,25440,312,5
13279,5.639,697.3618,19050,312,6
18199,9.5776,475.3053,26230,311,1
18894,9.8765,505.35258,84170,311,2
20963,10.2547,535.39963,128300,311,3
24642,10.8088,565.44644,25560,311,4
26698,11.354,595.49338,13790,311,5
21375,10.2603,475.30345,293000,310,1
22492,10.4188,503.33464,635100,310,2
23338,10.5506,531.36632,657600,310,3
23934,10.6264,559.39763,82640,310,4
24175,10.6573,587.43063,29650,310,5
13311,5.7262,474.29111,41650,309,1
13627,6.0127,540.3304,135100,309,2
13886,6.2844,606.36976,400900,309,3
14097,6.5101,672.40891,424500,309,4
14298,6.7153,738.44816,260200,309,5
14473,6.9158,804.48763,75360,309,6
