row ID,clique_id,clique_size,NeatMS,BlankRatio,RemovedIsos,DilutionSeries,OnlyM0,feature_group,mz,rt,max_area,Compound_Name,annotated,SpectrumID,within_series_id,homologue_id,mz_diff,origin,feature_size,NoFilter,CobinedFilters,annotated_feature
183,-183,1,1,0,1,0,0,-183,147.03089,0.3824,21170,,no,,,0,,,1,1,0,no
185,-185,1,0,0,1,0,0,-185,167.10667,0.3815,6588,,no,,,0,,,1,1,0,no
188,-188,1,1,0,1,0,0,-188,125.09608,0.3865,6026,,no,,,0,,,1,1,0,no
189,-189,1,0,0,1,0,0,-189,219.17436,0.3753,5885,,no,,,0,,,1,1,0,no
192,-192,1,1,0,1,0,0,-192,469.26543,0.3869,29280,,no,,,0,,,1,1,0,no
193,-193,1,0,0,1,0,0,-193,311.94403,0.3989,7556,,no,,,0,,,1,1,0,no
194,-194,1,0,0,1,1,0,-194,149.95283,0.3813,7703,,no,,,0,,,1,1,0,no
195,-195,1,1,0,1,0,0,-195,127.07534,0.3685,21270,,no,,,0,,,1,1,0,no
196,-196,1,0,0,1,0,0,-196,164.02981,0.3633,5219,,no,,,0,,,1,1,0,no
197,-197,1,1,0,1,0,1,-197,198.00095,0.3711,46570,,no,,,0,,,1,1,0,no
199,-199,1,0,0,1,0,0,-199,211.13292,0.3948,3806,,no,,,0,,,1,1,0,no
202,-202,1,1,1,1,1,0,-202,257.9677,0.384,30340,,no,,,0,,,1,1,0,no
203,-203,1,0,0,1,0,1,-203,621.45831,0.397,188400,,no,,,0,,,1,1,0,no
204,-204,1,1,0,1,0,0,-204,144.99207,0.3748,14430,,no,,,0,,,1,1,0,no
205,-205,1,0,0,1,0,0,-205,146.93752,0.3995,27560,,no,,,0,,,1,1,0,no
206,-206,1,0,0,1,0,0,-206,286.92106,0.397,4174,,no,,,0,,,1,1,0,no
207,-207,1,0,0,1,0,0,-207,299.06179,0.393,18300,,no,,,0,,,1,1,0,no
209,-209,1,1,0,1,1,0,-209,121.06476,0.3939,23740,,no,,,0,,,1,1,0,no
210,-210,1,0,0,1,0,0,-210,533.38739,0.3797,88290,,no,,,0,,,1,1,0,no
211,-211,1,0,0,1,0,0,-211,608.40847,0.3794,42550,,no,,,0,,,1,1,0,no
212,-212,1,1,0,1,0,1,-212,107.00078,0.4166,5506,,no,,,0,,,1,1,0,no
213,-213,1,1,0,1,0,0,-213,172.95224,0.3968,9922,,no,,,0,,,1,1,0,no
214,-214,1,0,0,1,0,0,-214,129.091,0.3872,5417,,no,,,0,,,1,1,0,no
215,-215,1,1,0,1,0,0,-215,115.07532,0.3811,22620,,no,,1,23,14.016,"-[CH2]-, alkane chains, waxes, fatty acids, methylation",1,1,0,no
216,-216,1,0,0,1,0,0,-216,454.23496,0.3883,14060,,no,,,0,,,1,1,0,no
218,-218,1,0,0,1,0,0,-218,132.06551,0.378,12510,,no,,,0,,,1,1,0,no
219,-219,1,0,0,1,0,0,-219,165.16377,0.3917,4573,,no,,,0,,,1,1,0,no
220,-220,1,0,0,1,1,0,-220,572.43464,0.4064,34980,,no,,,0,,,1,1,0,no
221,-221,1,0,0,1,0,0,-221,228.2223,0.4068,18700,,no,,,0,,,1,1,0,no
223,-223,1,0,0,0,0,0,-223,607.42437,0.4124,5187,,no,,,0,,,1,1,0,no
224,-224,1,0,0,0,0,0,-224,111.01199,0.4075,6202,,no,,,0,,,1,1,0,no
225,-225,1,1,0,1,0,0,-225,128.01925,0.4009,1181000,,no,,,0,,,1,1,0,no
226,-226,1,1,0,1,0,0,-226,208.9438,0.4119,30380,,no,,,0,,,1,1,0,no
227,-227,1,0,0,1,0,0,-227,185.1536,0.3964,11410,,no,,,0,,,1,1,0,no
229,-229,1,0,0,1,1,0,-229,156.01418,0.4059,46870,,no,,,0,,,1,1,0,no
230,-230,1,0,0,1,0,1,-230,777.60924,0.3606,80290,,no,,,0,,,1,1,0,no
231,-231,1,0,0,1,0,0,-231,216.95063,0.3758,42760,,no,,,0,,,1,1,0,no
232,-232,1,0,1,1,0,0,-232,847.67002,0.3918,5070,,no,,,0,,,1,1,0,no
233,-233,1,0,0,1,0,0,-233,625.43531,0.409,4984,,no,,,0,,,1,1,0,no
234,-234,1,1,0,1,0,0,-234,182.96181,0.402,9500,,no,,,0,,,1,1,0,no
235,-235,1,0,0,1,0,0,-235,116.96614,0.4013,12900,,no,,,0,,,1,1,0,no
236,-236,1,0,0,1,0,0,-236,111.9683,0.4098,16260,,no,,,0,,,1,1,0,no
238,-238,1,0,0,1,0,0,-238,193.9891,0.4051,8678,,no,,,0,,,1,1,0,no
239,-239,1,1,0,1,0,0,-239,353.34317,0.4021,40160,,no,,,0,,,1,1,0,no
240,-240,1,0,0,0,0,0,-240,132.00358,0.4146,298300,,no,,,0,,,1,1,0,no
241,-241,1,0,0,1,0,0,-241,283.03047,0.3874,42610,,no,,,0,,,1,1,0,no
242,-242,1,0,0,1,0,0,-242,156.97443,0.3922,3310,,no,,,0,,,1,1,0,no
244,-244,1,1,0,1,0,0,-244,172.01848,0.4053,18590,,no,,,0,,,1,1,0,no
245,-245,1,0,0,1,0,0,-245,250.95437,0.4205,11490,,no,,,0,,,1,1,0,no
246,-246,1,1,0,0,0,0,-246,142.96192,0.3908,29550,,no,,,0,,,1,1,0,no
247,-247,1,0,0,1,1,0,-247,258.92495,0.3981,4228,,no,,,0,,,1,1,0,no
248,-248,1,1,0,1,0,0,-248,139.07537,0.411,6579,,no,,,0,,,1,1,0,no
250,-250,1,0,0,1,0,0,-250,114.05491,0.4141,12710,,no,,,0,,,1,1,0,no
251,-251,1,0,0,1,0,0,-251,215.97744,0.4075,6372,,no,,,0,,,1,1,0,no
252,-252,1,0,0,0,0,0,-252,639.48682,0.3895,63000,,no,,,0,,,1,1,0,no
253,-253,1,0,1,1,1,0,-253,134.98686,0.4073,34220,,no,,,0,,,1,1,0,no
254,-254,1,0,0,0,0,0,-254,140.96171,0.4144,47640,,no,,,0,,,1,1,0,no
255,-255,1,0,0,1,0,0,-255,229.00147,0.4051,49390,,no,,,0,,,1,1,0,no
257,-257,1,1,0,1,0,0,-257,236.93867,0.3912,185000,,no,,,0,,,1,1,0,no
258,-258,1,0,0,1,0,0,-258,139.11176,0.4231,6128,,no,,,0,,,1,1,0,no
259,-259,1,1,0,1,0,0,-259,451.25482,0.431,23640,,no,,,0,,,1,1,0,no
260,-260,1,1,0,1,0,0,-260,248.90057,0.4124,24210,,no,,,0,,,1,1,0,no
261,-261,1,0,0,1,0,0,-261,397.22579,0.4563,10900,,no,,,0,,,1,1,0,no
262,-262,1,0,1,1,0,0,-262,234.95173,0.4079,62060,,no,,,0,,,1,1,0,no
263,-263,1,0,0,1,1,0,-263,130.01681,0.4124,84880,,no,,,0,,,1,1,0,no
265,-265,1,0,0,1,0,1,-265,268.23605,0.4204,34880,,no,,,0,,,1,1,0,no
266,-266,1,0,0,1,0,0,-266,102.09128,0.3905,34640,,no,,,0,,,1,1,0,no
267,-267,1,1,0,1,0,0,-267,112.00619,0.4123,71030,,no,,,0,,,1,1,0,no
269,-269,1,1,0,1,0,0,-269,154.96691,0.3971,4421,,no,,,0,,,1,1,0,no
270,-270,1,1,0,0,0,0,-270,606.4292,0.4044,41450,,no,,,0,,,1,1,0,no
271,-271,1,0,0,1,0,0,-271,129.02005,0.4172,44110,,no,,,0,,,1,1,0,no
272,-272,1,0,0,1,0,1,-272,605.42699,0.4308,101400,,no,,,0,,,1,1,0,no
273,-273,1,0,0,1,0,0,-273,793.65932,0.4081,38200,,no,,,0,,,1,1,0,no
274,-274,1,0,0,1,0,0,-274,472.44468,0.4031,34730,,no,,,0,,,1,1,0,no
276,-276,1,0,0,1,0,0,-276,123.11682,0.3953,3656,,no,,,0,,,1,1,0,no
277,-277,1,1,0,1,0,0,-277,213.14856,0.4193,18000,,no,,,0,,,1,1,0,no
278,-278,1,1,0,1,0,0,-278,242.20162,0.4251,42290,,no,,,0,,,1,1,0,no
279,-279,1,1,0,0,0,0,-279,144.95687,0.4067,21810,,no,,,0,,,1,1,0,no
280,-280,1,0,0,1,0,0,-280,177.9579,0.4291,44530,,no,,,0,,,1,1,0,no
281,-281,1,1,0,1,0,0,-281,124.01489,0.4173,21430,,no,,,0,,,1,1,0,no
282,-282,1,1,0,1,0,0,-282,128.95076,0.4197,30050,,no,,,0,,,1,1,0,no
283,-283,1,0,0,1,0,0,-283,235.96294,0.4253,8563,,no,,,0,,,1,1,0,no
