Source,Target,clique
3351,3356,True
13692,13694,True
30559,30566,True
18596,18724,True
17233,17245,True
24994,25009,True
19920,19982,True
18153,18154,True
17532,17541,True
24493,24498,True
35540,35550,True
3387,3400,True
13057,13075,True
12370,12374,True
18149,18156,True
9247,9255,True
27516,27534,True
8864,8965,True
1574,1577,True
23426,23431,True
24847,24851,True
6773,6784,True
14269,14277,True
23470,23474,True
12961,12963,True
20383,21032,True
18160,18170,True
30559,30579,True
19023,19033,True
30452,30453,True
24843,24853,True
11605,11645,True
3299,3300,True
6327,6330,True
33151,33163,True
30183,30184,True
12178,12180,True
16337,16339,True
22730,22738,True
11588,11597,True
16340,16344,True
2264,2266,True
18791,18804,True
20458,20694,True
11370,11374,True
8729,8753,True
11354,11366,True
28010,28018,True
18141,18170,True
3637,3645,True
2556,2559,True
9863,9887,True
11363,11371,True
14183,14186,True
5026,5032,True
11366,11376,True
16634,16646,True
12569,12573,True
26405,26410,True
15036,15041,True
12868,12869,True
13035,13046,True
11727,11732,True
1877,1897,True
13098,13102,True
13142,13145,True
9593,9595,True
2563,2575,True
30569,30583,True
24059,24087,True
17930,17963,True
24522,24528,True
23734,23738,True
14013,14017,True
24761,24773,True
2556,2572,True
30354,30365,True
35113,35300,True
17945,17948,True
7175,7204,True
11602,11629,True
9888,9893,True
14009,14019,True
13995,14084,True
14069,14070,True
13000,13038,True
8740,8753,True
2551,2578,True
32656,32658,True
12990,12993,True
1731,1792,True
11553,11565,True
2563,2588,True
9911,9917,True
15224,15226,True
18639,18665,True
14663,14664,True
3486,3502,True
30203,30209,True
17454,17458,True
1663,1742,True
13326,13329,True
16638,16643,True
17737,17746,True
2127,2142,True
9888,9906,True
17217,17222,True
13329,13334,True
18975,19001,True
1656,1739,True
21259,21284,True
18310,18318,True
13322,13331,True
14182,14189,True
13041,13052,True
13901,13910,True
23228,23246,True
12540,12541,True
13403,13404,True
20987,21535,True
23631,23636,True
13352,13358,True
19875,20281,True
15116,15117,True
17047,17053,True
12941,12942,True
30344,30346,True
18140,18149,True
14847,14848,True
18159,18162,True
13470,13471,True
13731,13741,True
14610,14612,True
12373,12377,True
13233,13235,True
23461,23467,True
11251,11253,True
12092,12098,True
14603,14609,True
18154,18168,True
2418,2425,True
14606,14614,True
14905,14910,True
10497,10498,True
24853,24859,True
1834,1879,True
26103,26397,True
6759,6783,True
18988,19010,True
13820,13826,True
1931,1933,True
24048,24058,True
12739,12740,True
6103,6105,True
25532,25534,True
11941,11942,True
2784,2788,True
11364,11372,True
28622,28624,True
3234,3253,True
11855,11875,True
18995,19026,True
13355,13359,True
1838,1863,True
2834,3548,True
4138,4154,True
6158,6162,True
10478,10498,True
11357,11369,True
13638,13647,True
2761,2777,True
26103,26410,True
18988,19023,True
13140,13141,True
19006,19040,True
13949,13953,True
25318,25322,True
12572,12576,True
20439,20470,True
26392,26405,True
18037,18131,True
15382,15383,True
6893,6917,True
25536,25666,True
18114,18122,True
2765,2788,True
6165,6178,True
12678,12679,True
35674,35675,True
11017,11018,True
22644,22645,True
20435,20472,True
6999,7020,True
19266,19273,True
24298,24303,True
30955,30997,True
24319,24362,True
13262,13265,True
12745,12746,True
24520,24537,True
8015,8017,True
1826,1842,True
11367,11373,True
13557,13563,True
14458,14459,True
18976,19039,True
19017,19040,True
24645,24653,True
20457,20473,True
20476,20486,True
12759,12765,True
28596,28597,True
15551,15555,True
3381,3383,True
12733,12749,True
17781,17787,True
18987,19053,True
12752,12762,True
28009,28019,True
2955,2982,True
13675,13676,True
5614,5620,True
26143,26148,True
11374,11389,True
13394,13397,True
7546,7552,True
18906,19064,True
9911,9972,True
24526,24530,True
27513,27522,True
31107,31229,True
14528,14531,True
11367,11386,True
18973,19010,True
23618,23631,True
28666,28669,True
11748,11751,True
13213,13214,True
26409,26425,True
12371,12373,True
26147,26159,True
23459,23463,True
13461,13464,True
15673,15679,True
12083,12091,True
26143,26161,True
5378,5393,True
4624,4665,True
11610,11615,True
13236,13238,True
24844,24852,True
11348,11349,True
31297,31302,True
8376,8665,True
17451,17457,True
14653,14660,True
19121,19123,True
27742,27745,True
10824,10827,True
1581,1633,True
25523,25527,True
6998,6999,True
29180,29253,True
1688,1695,True
12496,12502,True
5340,5343,True
29905,29923,True
28797,28963,True
21347,21357,True
18126,18161,True
26675,26678,True
14490,14494,True
35554,35595,True
30566,30571,True
11348,11362,True
7547,7591,True
4772,4778,True
13393,13400,True
17820,17825,True
3111,3117,True
13692,13696,True
14659,14680,True
28669,28670,True
4642,4668,True
30559,30568,True
26110,26118,True
11605,11634,True
15125,15126,True
28340,28350,True
18843,18862,True
4373,4399,True
5126,5131,True
1586,1926,True
24854,24856,True
12370,12376,True
4490,4920,True
6219,6227,True
14040,14042,True
13759,13763,True
18019,18048,True
14039,14046,True
24847,24853,True
2434,2437,True
18141,18159,True
26390,26414,True
11602,11605,True
13061,13088,True
16335,16339,True
14674,14678,True
20472,20473,True
17705,17713,True
24965,24966,True
16347,16349,True
11359,11362,True
19526,19548,True
6890,6903,True
28339,28340,True
18577,18581,True
20366,20922,True
13589,13594,True
16639,16642,True
24864,25035,True
11370,11376,True
15822,15831,True
28010,28020,True
13585,13596,True
35550,35556,True
12576,12578,True
15604,15608,True
21963,21965,True
24991,24995,True
12566,12570,True
13426,13428,True
7556,7558,True
1620,1829,True
25485,25732,True
12569,12575,True
9348,9379,True
35546,35558,True
13035,13048,True
20455,20482,True
29436,29447,True
11598,11620,True
6890,6916,True
1861,1891,True
6062,6239,True
3149,3196,True
11342,11371,True
5941,5949,True
12861,12868,True
35024,35338,True
18989,19033,True
2758,2816,True
29132,29157,True
9482,9500,True
3486,3491,True
14013,14019,True
12592,12599,True
2556,2574,True
22073,22079,True
22505,22527,True
26393,26415,True
17945,17950,True
9888,9895,True
17948,17955,True
6059,6062,True
1656,1728,True
32647,32655,True
24044,24087,True
14651,14656,True
2762,2763,True
12070,12086,True
11342,11384,True
12990,12995,True
12754,12755,True
3833,3841,True
16642,16643,True
13853,13858,True
27109,27120,True
29113,29120,True
9895,9911,True
11114,11116,True
13326,13331,True
29122,29125,True
14186,14189,True
17737,17748,True
2968,2989,True
13329,13336,True
15796,15804,True
16637,16649,True
3031,3045,True
16120,16130,True
17746,17753,True
28494,28509,True
24498,24499,True
10309,10315,True
28670,28671,True
17528,17530,True
12313,12315,True
12540,12543,True
13400,13401,True
4763,4771,True
16992,16998,True
12543,12548,True
2762,2776,True
14263,14264,True
2806,2819,True
6152,6158,True
26422,26432,True
15397,15398,True
7916,7917,True
2887,2892,True
3677,3691,True
14318,14321,True
25646,25652,True
21105,21879,True
12081,12086,True
9500,9516,True
1811,1857,True
9887,9925,True
14847,14850,True
18140,18151,True
6550,6554,True
13470,13473,True
14891,14893,True
2216,2845,True
14610,14614,True
6761,6774,True
13514,13516,True
12073,12087,True
24041,24044,True
4936,4941,True
11603,11643,True
19352,19353,True
12955,12963,True
1558,1569,True
20495,20499,True
22647,22663,True
10571,10678,True
11357,11358,True
10777,10783,True
3895,3927,True
6756,6780,True
35405,35419,True
25520,25526,True
17242,17243,True
35656,35674,True
5583,5812,True
25532,25536,True
2126,2147,True
17235,17240,True
9625,9645,True
2765,2777,True
11364,11374,True
15016,15022,True
18135,18170,True
13355,13361,True
20435,20461,True
11187,11189,True
5298,5306,True
26403,26408,True
2890,2893,True
11357,11371,True
13698,13700,True
13137,13138,True
26746,26747,True
5940,5941,True
28898,28911,True
21199,21796,True
13140,13143,True
24956,24972,True
30568,30577,True
11245,11251,True
26405,26575,True
1867,1869,True
1826,1831,True
17083,17088,True
32344,32346,True
4618,4621,True
24302,24303,True
30361,30368,True
22644,22647,True
31265,31269,True
14067,14068,True
13786,13789,True
34296,34304,True
13830,13832,True
20469,20472,True
24061,24069,True
15720,15730,True
11611,11614,True
6062,6065,True
13561,13563,True
18980,19039,True
18243,18251,True
16935,16937,True
11386,11388,True
21535,21556,True
11877,11891,True
16629,16638,True
2572,2573,True
13320,13329,True
26409,26414,True
6690,6694,True
35307,35344,True
16710,16711,True
19010,19039,True
10020,10025,True
23629,23634,True
2004,2008,True
28009,28021,True
10363,10364,True
6755,6759,True
14815,14819,True
13394,13399,True
17046,17047,True
7545,7558,True
1656,1675,True
31107,31231,True
9867,9904,True
11367,11388,True
12079,12082,True
14871,14872,True
5370,5383,True
29507,29516,True
13730,13735,True
14029,14031,True
17227,17243,True
20277,20786,True
9343,9345,True
26147,26161,True
12371,12375,True
13275,13276,True
5385,5398,True
11614,11615,True
29222,29239,True
19353,19354,True
9916,9917,True
25453,25457,True
18170,18257,True
9915,9921,True
20443,20445,True
11594,11636,True
18126,18150,True
12190,12192,True
30453,30454,True
17987,17991,True
5238,5240,True
10812,10819,True
17451,17459,True
14029,14044,True
25530,25532,True
17980,17988,True
3624,3627,True
8656,8657,True
29912,29928,True
23629,23889,True
25523,25529,True
13397,13400,True
12836,12838,True
16447,16448,True
27516,27525,True
25515,25530,True
26114,26118,True
2109,2141,True
20785,20801,True
30566,30573,True
11348,11364,True
22137,22158,True
29769,29771,True
13393,13402,True
3111,3119,True
13692,13698,True
18160,18161,True
30559,30570,True
24843,24844,True
15941,15943,True
12374,12376,True
11605,11636,True
15125,15128,True
26103,26575,True
11343,11370,True
4373,4630,True
18175,18176,True
16155,16168,True
13766,13768,True
13230,13236,True
18149,18160,True
25530,25666,True
6219,6229,True
5513,5515,True
18019,18050,True
18227,18228,True
27519,27543,True
1873,1877,True
16569,16572,True
24910,24911,True
13541,13542,True
19301,19311,True
18141,18161,True
13260,13263,True
1742,1808,True
16335,16341,True
11366,11367,True
16634,16637,True
1865,1878,True
2788,2792,True
18883,18919,True
2545,2576,True
11377,11381,True
10797,10806,True
28339,28342,True
18709,18739,True
20539,20586,True
25840,25841,True
6155,6163,True
5033,5039,True
11354,11370,True
12813,12816,True
12573,12575,True
2556,2563,True
13584,13602,True
16189,16300,True
21383,21392,True
21369,21494,True
7178,7200,True
18115,18121,True
19560,19669,True
12566,12572,True
13146,13147,True
11365,11384,True
1620,1831,True
12569,12577,True
14009,14010,True
26405,26414,True
10927,10929,True
