Node,clique_id
2622,2200589_6
2599,2200101_3
2620,2200581_4
2612,2200542_3
2586,2200101_3
2616,2200101_3
2623,2200591_6
2619,2200583_7
2630,2200597_3
2637,2200603_3
2635,2200602_6
2661,2200612_6
2627,2200591_6
2631,2200598_5
2629,2200596_5
2621,2200587_3
3394,2201251_4
3378,2200586_6
3387,2201249_3
3383,2200586_6
3381,2200586_6
3388,2201251_4
3875,2200585_5
3395,2201249_3
2633,2200596_5
2681,2200615_5
2655,2200611_5
2646,2200606_4
2634,2200600_6
2650,2200602_6
2668,2200606_4
2649,2200606_4
2669,2200614_5
2682,2200625_3
2675,2200614_5
2717,2200652_3
3361,2200639_3
2680,2200623_2
2706,2200623_2
2703,2200640_3
2715,2200650_3
2753,2200777_14
2751,2200766_15
2732,2200675_14
2733,2200676_3
2734,2200678_5
2723,2200656_5
2977,2200959_3
2968,2200960_3
2961,2200955_3
2939,2200949_5
2985,2200926_4
2957,2200953_4
2757,2200795_16
2761,2200795_16
2783,2200795_16
2776,2200795_16
2738,2200692_18
2762,2200795_16
2754,2200783_20
2755,2200794_8
2739,2200717_13
2772,2200795_16
2763,2200795_16
2765,2200795_16
2750,2200769_18
2782,2200792_15
2793,2200754_21
2780,2200790_10
2777,2200795_16
2756,2200792_15
2787,2200795_16
2792,2200795_16
2778,2200717_13
2784,2200795_16
2767,2200783_20
2774,2200792_15
2764,2200792_15
2773,2200794_8
2760,2200795_16
2741,2200738_4
2779,2200783_20
2768,2200795_16
2809,2200811_3
2743,2200738_4
2788,2200795_16
2807,2200777_14
2805,2200784_7
2806,2200810_3
3407,2200793_8
2786,2200795_16
2819,2200810_3
2804,2200809_4
3302,2201188_3
3267,2201188_3
2927,2200939_4
3322,2201196_3
3324,2201197_3
2826,2200821_8
2817,2200816_3
3596,2200815_3
3582,2201373_3
3569,2201373_3
3578,2200816_3
2862,2200824_8
2838,2200824_8
2843,2200823_5
2839,2200825_6
2870,2200864_6
2859,2200841_3
2919,2200923_3
2893,2200893_3
2890,2200893_3
2868,2200859_3
3045,2201035_9
3036,2201033_10
3064,2201063_8
3060,2201015_5
2978,2200969_4
3044,2201040_7
3054,2201016_5
3024,2201028_6
3027,2201029_5
3028,2201033_10
3007,2201001_3
3053,2201050_9
3004,2200999_9
3030,2201028_6
3010,2201010_8
2896,2200884_5
2883,2200886_4
2948,2200928_5
2912,2200911_4
2933,2200942_3
2901,2200903_3
2941,2200911_4
2904,2200908_4
3314,2201176_3
3248,2201183_5
3300,2201191_4
3288,2201191_4
3269,2201189_3
3258,2201183_5
2923,2200911_4
2955,2200953_4
2949,2200922_3
2946,2200950_4
2930,2200918_3
2947,2200949_5
2928,2200919_4
2935,2200917_5
2943,2200923_3
2964,2200930_4
3315,2200939_4
3271,2201186_4
3310,2200937_4
3299,2201191_4
3301,2201182_4
3309,2200936_4
3307,2201192_3
3046,2201044_5
2982,2200953_4
2989,2200960_3
2984,2200952_3
2983,2200955_3
3063,2201028_6
3023,2201017_5
3035,2201036_6
3006,2201000_4
3031,2201035_9
3147,2201109_6
3003,2200981_3
3033,2201028_6
3049,2201046_6
3032,2201019_4
3018,2201011_2
3038,2201011_2
3597,2201014_5
3057,2201056_5
3082,2201036_6
3484,2201296_4
3477,2201044_5
3482,2201296_4
3499,2201044_5
3481,2201296_4
3502,2201299_3
3212,2201159_3
3072,2201081_3
3075,2201084_3
3116,2201097_3
3058,2201057_4
3084,2201081_3
3074,2201083_5
3092,2201084_3
3080,2201089_5
3164,2201094_4
3096,2201101_6
3170,2201111_3
3163,2201126_3
3196,2201127_3
3195,2201125_3
3156,2201129_2
3229,2201129_2
3246,2201166_3
3239,2201165_4
3198,2201146_5
3230,2201163_3
3244,2201175_3
3243,2201146_5
3203,2201151_3
3234,2201170_3
3253,2201170_3
3261,2201183_5
3491,2201299_3
3241,2201171_4
3231,2201166_3
3256,2201183_5
3264,2201186_4
3286,2201175_3
3818,2201191_4
3247,2201176_3
3318,2201188_3
3282,2201189_3
3328,2201194_3
3321,2201193_4
3334,2201202_6
3343,2201202_6
3342,2201202_6
3338,2201203_4
3351,2201203_4
3332,2201200_7
3345,2201203_4
3360,2201199_7
3341,2201200_7
3356,2201203_4
3333,2201201_6
3627,2201246_11
3635,2201247_6
3628,2201246_11
3624,2201246_11
3634,2201246_11
3350,2201207_6
3817,2201452_4
3820,2201450_5
3823,2201452_4
3841,2201447_7
3842,2201451_5
3363,2201247_6
3633,2201247_6
3645,2201246_11
3963,2201247_6
3637,2201246_11
3646,2201247_6
3640,2201247_6
3404,2201251_4
3400,2201249_3
3406,2201251_4
3403,2201258_4
3947,2201580_3
3936,2201256_7
3946,2201580_3
3927,2201534_3
3919,2201257_6
3894,2201533_3
3960,2201571_4
3895,2201534_3
3924,2201254_4
3932,2201572_5
3416,2201259_2
3426,2201259_2
3423,2201262_4
3444,2201267_3
3433,2201268_3
3440,2201261_4
3438,2201271_4
3430,2201263_3
3437,2201269_3
3448,2201271_4
3449,2201291_3
3469,2201291_3
3461,2201294_3
3476,2201296_4
3486,2201299_3
3492,2201302_2
3497,2201302_2
3504,2201334_8
4038,2207604_12
4036,2210155_8
4060,2212906_4
4023,2207349_12
4056,2211840_9
4057,2211840_9
4042,2207604_12
4018,2207353_10
4034,2207341_8
4021,2207606_9
4035,2210154_9
4033,2207342_9
4047,2211840_9
4025,2209989_9
4046,2210155_8
4048,2211840_9
4058,2211840_9
4017,2207349_12
4026,2207604_12
3561,2201370_3
3574,2201370_3
3939,2201370_3
3563,2201371_3
3564,2201371_3
3573,2201373_3
3590,2201387_4
4105,2212984_4
4106,2212981_4
4094,2212984_4
4088,2212986_3
4111,2212986_3
4071,2211840_9
4069,2212980_3
4075,2212981_4
4068,2211840_9
3604,2201390_2
3605,2201390_2
3623,2201394_2
3636,2201394_2
3663,2201401_3
4285,2213018_4
4321,2213025_5
4267,2201397_4
4255,2213013_3
4328,2213031_3
